Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
390  Points		390  Points		367  Points		200  Points		401  Points		295  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.619996	2.56977	0.621089	2.57029	0.714422	1.50686	0.928828	1.16005	0.500504	1.97514	0.70225	1.32461
0.617438	2.56853	0.61853	2.56905	0.715919	1.49898	0.92999	1.17362	0.502466	1.96421	0.703579	1.34502
0.61488	2.56719	0.615972	2.56777	0.717408	1.4911	0.931166	1.1872	0.504417	1.9532	0.704929	1.36545
0.612324	2.56582	0.613415	2.56644	0.718889	1.48321	0.932355	1.2008	0.506357	1.94223	0.706299	1.3858
0.609769	2.56445	0.610859	2.56499	0.720363	1.47533	0.933558	1.21436	0.508286	1.93133	0.70769	1.40612
0.607215	2.56292	0.608305	2.56356	0.721828	1.46744	0.934774	1.22785	0.510205	1.92042	0.709101	1.42641
0.604663	2.56135	0.605752	2.56208	0.723286	1.45956	0.936004	1.24132	0.512112	1.90955	0.710531	1.44666
0.602113	2.55976	0.603201	2.56043	0.724736	1.45171	0.937247	1.25472	0.514008	1.8987	0.711982	1.46683
0.599564	2.55805	0.600652	2.55877	0.726178	1.44394	0.938503	1.2681	0.515894	1.88786	0.713453	1.48689
0.597017	2.55629	0.598104	2.5571	0.727612	1.43615	0.939773	1.28146	0.517769	1.87715	0.714944	1.50684
0.594472	2.5545	0.595558	2.55524	0.729039	1.4284	0.941056	1.29472	0.519634	1.86651	0.716455	1.52673
0.591928	2.55255	0.593014	2.55333	0.730457	1.42071	0.942352	1.3079	0.521487	1.85595	0.717986	1.54656
0.589387	2.55049	0.590472	2.55143	0.731869	1.41301	0.943661	1.32103	0.523331	1.84547	0.719536	1.56623
0.586848	2.54844	0.587931	2.54935	0.733272	1.40539	0.944984	1.33414	0.525164	1.83503	0.721106	1.58572
0.58431	2.54625	0.585393	2.54718	0.734668	1.39785	0.946319	1.34711	0.526986	1.82469	0.722695	1.60513
0.581775	2.54395	0.582857	2.54493	0.736057	1.39031	0.947667	1.36	0.528798	1.81454	0.724303	1.62437
0.579243	2.5416	0.580324	2.54259	0.737438	1.38286	0.949028	1.37282	0.530601	1.80449	0.725931	1.64343
0.576712	2.53906	0.577792	2.54016	0.738811	1.37549	0.950402	1.38551	0.532393	1.79452	0.727577	1.66241
0.574185	2.53642	0.575263	2.53757	0.740178	1.36817	0.951788	1.39819	0.534176	1.78472	0.729242	1.68117
0.57166	2.53374	0.572737	2.53488	0.741537	1.36096	0.953187	1.41072	0.535948	1.77502	0.730926	1.69974
0.569137	2.53088	0.570214	2.53212	0.742889	1.3538	0.954598	1.42314	0.537711	1.76553	0.732628	1.71812
0.566618	2.52786	0.567693	2.52919	0.744234	1.34666	0.956022	1.4355	0.539465	1.75619	0.734348	1.73628
0.564102	2.52476	0.565176	2.52611	0.745572	1.33967	0.957458	1.44766	0.54121	1.74693	0.736087	1.75429
0.561589	2.52151	0.562661	2.52288	0.746902	1.3328	0.958906	1.45972	0.542945	1.73792	0.737843	1.77209
0.559079	2.51804	0.56015	2.51956	0.748227	1.32598	0.960366	1.47173	0.544672	1.72904	0.739617	1.78961
0.556573	2.51447	0.557642	2.51603	0.749544	1.31924	0.961838	1.48358	0.54639	1.72035	0.741408	1.80695
0.55407	2.51072	0.555138	2.51234	0.750855	1.31261	0.963321	1.49527	0.548099	1.71185	0.743216	1.82403
0.551571	2.50677	0.552637	2.50853	0.752159	1.30614	0.964816	1.50684	0.5498	1.70352	0.745042	1.84089
0.549076	2.50269	0.550141	2.50445	0.753456	1.2997	0.966323	1.5183	0.551492	1.69542	0.746884	1.85755
0.546586	2.49834	0.547648	2.50021	0.754748	1.29335	0.967841	1.52962	0.553177	1.68747	0.748742	1.87385
0.544099	2.4938	0.54516	2.49578	0.756033	1.28719	0.96937	1.54078	0.554854	1.67972	0.750616	1.88998
0.541618	2.48905	0.542677	2.49109	0.757312	1.28112	0.97091	1.55178	0.556523	1.67221	0.752507	1.90584
0.539141	2.48406	0.540198	2.48621	0.758585	1.27514	0.972461	1.56265	0.558185	1.66494	0.754413	1.9214
0.536669	2.47885	0.537724	2.48113	0.759852	1.26929	0.974023	1.57337	0.55984	1.6578	0.756334	1.93676
0.534203	2.47337	0.535255	2.47575	0.761113	1.26355	0.975595	1.58393	0.561487	1.65089	0.758271	1.95181
0.531742	2.46759	0.532792	2.47009	0.762369	1.25795	0.977178	1.59433	0.563128	1.64423	0.760223	1.96657
0.529288	2.46151	0.530335	2.46414	0.763619	1.25246	0.978771	1.60459	0.564763	1.63774	0.762189	1.98105
0.526839	2.45515	0.527883	2.45789	0.764864	1.24708	0.980375	1.61471	0.566391	1.6315	0.764169	1.99527
0.524397	2.44849	0.525439	2.45136	0.766104	1.24187	0.981988	1.62458	0.568013	1.62552	0.766163	2.00918
0.521961	2.4415	0.523	2.44453	0.767338	1.23675	0.983611	1.63432	0.569629	1.61972	0.768171	2.02281
0.519533	2.43411	0.520569	2.4373	0.768567	1.23177	0.985243	1.64396	0.571239	1.61413	0.770193	2.03617
0.517113	2.42635	0.518145	2.42968	0.769792	1.22698	0.986886	1.65337	0.572844	1.60878	0.772227	2.04926
0.5147	2.41819	0.515729	2.42172	0.771011	1.22225	0.988537	1.66258	0.574444	1.60363	0.774275	2.062
0.512295	2.4096	0.513321	2.41334	0.772226	1.21762	0.990198	1.67165	0.576039	1.59872	0.776335	2.07444
0.5099	2.40063	0.510921	2.40455	0.773437	1.21319	0.991867	1.68061	0.577629	1.59405	0.778407	2.08668
0.507513	2.3912	0.508531	2.39529	0.774643	1.20889	0.993545	1.68933	0.579214	1.58955	0.780492	2.09857
0.505136	2.38125	0.50615	2.38553	0.775845	1.20475	0.995232	1.69781	0.580795	1.58531	0.782588	2.1101
0.50277	2.3708	0.503779	2.37528	0.777043	1.20069	0.996928	1.70621	0.582372	1.58133	0.784695	2.12141
0.500414	2.35979	0.501418	2.36457	0.778237	1.19675	0.998631	1.71439	0.583945	1.57747	0.786814	2.1324
0.498069	2.34825	0.499068	2.35328	0.779427	1.19301	1.00034	1.71839	0.585515	1.5739	0.788943	2.14305
0.495736	2.33618	0.49673	2.34137	0.780614	1.1894			0.587081	1.57055	0.791083	2.15348
0.493415	2.32348	0.494404	2.32898	0.781796	1.18591			0.588643	1.56736	0.793233	2.1636
0.491107	2.31012	0.492091	2.31591	0.782976	1.18256			0.590203	1.56442	0.795393	2.17338
0.488813	2.29614	0.489791	2.30217	0.784152	1.17932			0.59176	1.56169	0.797562	2.18286
0.486533	2.28152	0.487505	2.28785	0.785325	1.17623			0.593314	1.55916	0.799741	2.19207
0.484268	2.26616	0.485233	2.27281	0.786495	1.1733			0.594866	1.55681	0.801929	2.20096
0.482019	2.25007	0.482977	2.25703	0.787662	1.17045			0.596415	1.55468	0.804126	2.20956
0.479786	2.23332	0.480737	2.24055	0.788827	1.16776			0.597963	1.5528	0.806331	2.2179
0.47757	2.21578	0.478514	2.22337	0.789989	1.16525			0.599508	1.55112	0.808544	2.22592
0.475372	2.1975	0.476308	2.20539	0.791148	1.16283			0.601053	1.54958	0.810765	2.23366
0.473193	2.17844	0.474121	2.18667	0.792305	1.16057			0.602595	1.54821	0.812993	2.24112
0.471033	2.15862	0.471952	2.16718	0.79346	1.15845			0.604137	1.54705	0.815229	2.24828
0.468893	2.13803	0.469804	2.14691	0.794613	1.15639			0.605677	1.54612	0.817472	2.25511
0.466773	2.11662	0.467675	2.12586	0.795764	1.1545			0.607217	1.54539	0.819721	2.26168
0.464676	2.09452	0.465569	2.10405	0.796913	1.15277			0.608756	1.54477	0.821977	2.26796
0.462601	2.07162	0.463484	2.08149	0.79806	1.15117			0.610294	1.54433	0.824239	2.27396
0.460549	2.04794	0.461422	2.05813	0.799206	1.14968			0.611832	1.54411	0.826507	2.27969
0.458522	2.02361	0.459384	2.03409	0.80035	1.14828			0.61337	1.54409	0.828781	2.28511
0.456518	1.99862	0.45737	2.00934	0.801493	1.14702			0.614908	1.5442	0.831059	2.29029
