Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6	
402  Points		402  Points		403  Points		388  Points		385  Points		366  Points		356  Points		401  Points		396  Points		377  Points		362  Points		174  Points		133  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.78103	2.44685	1.74737	2.40544	1.78426	2.44729	1.73578	2.49382	1.19552	6.83312	1.44056	7.7251	2.01288	3.23524	0.490169	2.7824	0.941868	5.32718	1.12536	6.38061	1.83128	2.88102	1.753	9.32983	2.11948	11.278
1.77475	2.44598	1.74193	2.40558	1.77799	2.44643	1.73197	2.49662	1.19676	6.75118	1.44365	7.69539	2.01257	3.24678	0.491699	2.755	0.942324	5.2611	1.13387	6.34581	1.8295	2.88871	1.75806	9.24326	2.11934	11.1405
1.76847	2.4451	1.73651	2.40577	1.77171	2.44555	1.72816	2.49945	1.19775	6.66992	1.44595	7.67394	2.01229	3.25846	0.49333	2.72886	0.942546	5.19541	1.14265	6.31346	1.82777	2.89653	1.7633	9.15965	2.1191	11.0058
1.76219	2.44421	1.73112	2.40599	1.76542	2.44467	1.72437	2.50231	1.19849	6.58938	1.44743	7.66038	2.01204	3.27028	0.495067	2.70396	0.942567	5.13028	1.15169	6.28327	1.82609	2.9045	1.76869	9.07885	2.11878	10.8738
1.75591	2.44332	1.72575	2.40624	1.75914	2.44378	1.72058	2.5052	1.199	6.50962	1.44959	7.64112	2.01183	3.28224	0.496914	2.68027	0.942415	5.06583	1.16093	6.25498	1.82447	2.9126	1.77423	9.00067	2.11837	10.7444
1.74963	2.44243	1.72041	2.40654	1.75287	2.44289	1.71679	2.50811	1.1993	6.4307	1.45195	7.62048	2.01165	3.29435	0.498877	2.65777	0.942116	5.00218	1.17037	6.22839	1.82289	2.92083	1.7799	8.92496	2.11789	10.6178
1.74336	2.44154	1.7151	2.40688	1.74659	2.442	1.71301	2.51105	1.19941	6.35266	1.45521	7.5929	2.01151	3.30661	0.500964	2.63649	0.941695	4.93943	1.17996	6.20328	1.82136	2.92921	1.78568	8.85157	2.11735	10.4937
1.73709	2.44064	1.70982	2.40726	1.74032	2.4411	1.70923	2.51401	1.19933	6.27557	1.45938	7.5588	2.01139	3.31901	0.503189	2.61642	0.94117	4.87764	1.1897	6.17948	1.81987	2.93772	1.79158	8.78034	2.11677	10.3722
1.73083	2.43975	1.70456	2.40769	1.73405	2.44021	1.70544	2.51699	1.19909	6.19946	1.46452	7.51865	2.01131	3.33156	0.505569	2.59763	0.940559	4.81687	1.19955	6.15685	1.81843	2.94637	1.79756	8.71115	2.11615	10.2532
1.72457	2.43886	1.69934	2.40815	1.72779	2.43932	1.70165	2.51997	1.1987	6.12437	1.47065	7.473	2.01126	3.34426	0.508136	2.58023	0.939877	4.75717	1.20949	6.13524	1.81703	2.95516	1.80362	8.64385	2.1155	10.1367
1.71831	2.43797	1.69414	2.40867	1.72153	2.43843	1.69785	2.52296	1.19817	6.05034	1.47782	7.42241	2.01124	3.35711	0.510936	2.56441	0.939138	4.69855	1.21952	6.11453	1.81568	2.96408	1.80973	8.57832	2.11483	10.0227
1.71206	2.43708	1.68898	2.40923	1.71528	2.43754	1.69403	2.52594	1.19752	5.97741	1.48512	7.37358	2.01126	3.37011	0.514045	2.55047	0.938354	4.64105	1.2296	6.09459	1.81438	2.97315	1.8159	8.51443	2.11417	9.9112
