Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
388  Points		391  Points		388  Points		383  Points		370  Points		362  Points		155  Points		391  Points		380  Points		367  Points		338  Points		161  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.7548	2.32646	0.569212	0.303549	1.75217	2.32132	0.842692	-0.223707	1.27332	2.17967	1.57161	0.645408	1.9502	1.30642	0.569257	0.304819	1.00004	3.19211	1.20794	0.794817	1.603	1.60296	1.9445	0.576588
1.74945	2.31596	0.569935	0.323866	1.74683	2.31072	0.842163	-0.233335	1.27833	2.15939	1.57234	0.66265	1.95323	1.31023	0.569983	0.325205	1.00731	3.1027	1.20987	0.884879	1.60433	1.6024	1.94586	0.601356
1.74412	2.30528	0.570707	0.345779	1.74151	2.3	0.841615	-0.240713	1.28329	2.13295	1.57329	0.686395	1.95625	1.31058	0.570757	0.347191	1.01436	3.00054	1.21203	0.987844	1.60612	1.60059	1.94728	0.630163
1.73881	2.29453	0.571531	0.369114	1.73621	2.28918	0.841052	-0.245903	1.28818	2.10051	1.5745	0.718045	1.95927	1.30763	0.571585	0.370634	1.02116	2.88559	1.21443	1.10385	1.60839	1.59687	1.94877	0.662949
1.73353	2.28365	0.57241	0.393672	1.73094	2.27829	0.84048	-0.249011	1.29298	2.06213	1.57598	0.759208	1.96229	1.30135	0.572468	0.395284	1.02767	2.7582	1.21712	1.23279	1.61112	1.59031	1.95034	0.699589
1.72827	2.27267	0.573347	0.419428	1.7257	2.26729	0.839903	-0.250199	1.29769	2.01782	1.57779	0.811722	1.96528	1.29188	0.573409	0.421121	1.03389	2.61918	1.22012	1.37402	1.61431	1.57967	1.952	0.739912
1.72304	2.26163	0.574346	0.446258	1.72048	2.25619	0.839326	-0.249511	1.30229	1.9678	1.57972	0.869729	1.96825	1.27938	0.574411	0.447993	1.03976	2.46973	1.22346	1.52656	1.61794	1.56364	1.95375	0.783789
1.71783	2.25052	0.575407	0.473992	1.71529	2.24506	0.838752	-0.247043	1.30677	1.91232	1.5818	0.933193	1.97118	1.2639	0.575476	0.475747	1.04528	2.31147	1.22717	1.68896	1.62152	1.54373	1.95561	0.830895
1.71265	2.23936	0.576533	0.502581	1.71012	2.23385	0.838186	-0.242916	1.31112	1.85158	1.58403	1.00191	1.97408	1.24576	0.576607	0.50442	1.05043	2.14646	1.23126	1.85918	1.62506	1.51993	1.95733	0.874434
1.7075	2.22818	0.577726	0.53189	1.70498	2.22265	0.837631	-0.23719	1.31532	1.78591	1.58642	1.07557	1.97657	1.22783	0.577804	0.533807	1.05519	1.9772	1.23575	2.03501	1.62854	1.49243	1.95886	0.913294
1.70237	2.21695	0.578988	0.561852	1.69986	2.21145	0.837091	-0.229933	1.31936	1.71572	1.58899	1.1537	1.97866	1.21104	0.57907	0.563808	1.05955	1.80626	1.24065	2.21388	1.63195	1.46136	1.96018	0.946516
1.69727	2.2057	0.580319	0.59247	1.69477	2.20018	0.83657	-0.22125	1.32324	1.64141	1.59175	1.23595	1.98037	1.19618	0.580406	0.59441	1.06352	1.63626	1.24596	2.39308	1.63528	1.42696	1.96125	0.973434
1.69219	2.19448	0.581722	0.623526	1.68971	2.18899	0.83607	-0.211269	1.32693	1.56352	1.5947	1.32186	1.9817	1.18386	0.581813	0.625494	1.0671	1.46978	1.25169	2.56991	1.63853	1.38948	1.96206	0.99358
1.68714	2.18331	0.583196	0.655021	1.68467	2.17783	0.835595	-0.200017	1.33045	1.48265	1.59785	1.41073	1.98267	1.17442	0.583293	0.657039	1.07031	1.30905	1.25782	2.74204	1.64169	1.34909	1.96259	1.00671
1.68212	2.17217	0.584745	0.686955	1.67966	2.1667	0.835147	-0.187506	1.33378	1.39926	1.60121	1.50208	1.98329	1.16828	0.584845	0.688999	1.07315	1.15596	1.26434	2.90736	1.64476	1.30612	1.96336	1.02572
1.67712	2.16104	0.586367	0.719182	1.67467	2.15566	0.834729	-0.173853	1.33691	1.31406	1.60478	1.59526	1.98417	1.15931	0.586472	0.721238	1.07564	1.01192	1.27124	3.06424	1.64772	1.26087	1.96421	1.04662
1.67214	2.15005	0.588063	0.751665	1.66971	2.14471	0.834345	-0.159153	1.33984	1.2277	1.60857	1.68949	1.98512	1.14916	0.588174	0.753727	1.07782	0.877901	1.27848	3.21154	1.65058	1.2137	1.9654	1.07555
1.6672	2.13921	0.589835	0.784349	1.66478	2.13387	0.833995	-0.143453	1.34257	1.14072	1.61258	1.78417	1.9864	1.13504	0.58995	0.786452	1.07969	0.754385	1.28606	3.34843	1.65332	1.16493	1.96695	1.11259
1.66227	2.12843	0.591683	0.817281	1.65986	2.12317	0.833683	-0.126704	1.34511	1.05383	1.6168	1.87861	1.988	1.11665	0.591803	0.819366	1.0813	0.64154	1.29394	3.47462	1.65595	1.1149	1.9689	1.15817
1.65737	2.1178	0.593607	0.850373	1.65498	2.11269	0.83341	-0.109101	1.34744	0.967649	1.62125	1.97216	1.98989	1.09362	0.593732	0.85245	1.08265	0.539268	1.30209	3.59002	1.65847	1.06404	1.97128	1.21244
1.6525	2.10737	0.595607	0.883544	1.65011	2.10234	0.833179	-0.0906687	1.34957	0.882665	1.6259	2.06416	1.99206	1.06573	0.595737	0.885691	1.08379	0.447154	1.3105	3.69481	1.66086	1.01271	1.97415	1.27559
1.64765	2.0972	0.597684	0.916866	1.64528	2.09227	0.832992	-0.0713448	1.35151	0.799413	1.63077	2.15403	1.99449	1.03272	0.597819	0.918974	1.08472	0.364731	1.31914	3.78943	1.66314	0.961381	1.97717	1.33928
1.64282	2.08726	0.599838	0.9503	1.64046	2.08246	0.83285	-0.0512459	1.35326	0.718347	1.63585	2.24126	1.99683	0.998812	0.599978	0.952388	1.08547	0.291367	1.32799	3.87431	1.6653	0.910445	1.98033	1.40313
