Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
360  Points		362  Points		289  Points		175  Points		308  Points		175  Points		360  Points		362  Points		289  Points		175  Points		308  Points		175  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.274561	4.5412	0.136316	5.05005	0.453506	2.60874	0.780722	3.29712	0.45736	3.80947	0.850579	-0.472348	0.274561	4.5412	0.136316	5.05005	0.453506	2.60874	0.780722	3.29712	0.45736	3.80947	0.850579	-0.472348
0.277378	4.42759	0.139495	5.07176	0.45519	2.75481	0.782796	3.30493	0.45975	3.80069	0.850297	-0.424769	0.277378	4.42759	0.139495	5.07176	0.45519	2.75481	0.782796	3.30493	0.45975	3.80069	0.850297	-0.424769
0.280123	4.31368	0.142688	5.0927	0.456966	2.90181	0.784874	3.31186	0.462135	3.79063	0.850045	-0.376216	0.280123	4.31368	0.142688	5.0927	0.456966	2.90181	0.784874	3.31186	0.462135	3.79063	0.850045	-0.376216
0.282797	4.19993	0.145893	5.11284	0.458835	3.04927	0.786956	3.3179	0.464512	3.77919	0.849824	-0.326584	0.282797	4.19993	0.145893	5.11284	0.458835	3.04927	0.786956	3.3179	0.464512	3.77919	0.849824	-0.326584
0.2854	4.08682	0.149111	5.13239	0.460797	3.19665	0.789042	3.32314	0.466882	3.76653	0.849635	-0.27588	0.2854	4.08682	0.149111	5.13239	0.460797	3.19665	0.789042	3.32314	0.466882	3.76653	0.849635	-0.27588
0.287931	3.97466	0.152341	5.15117	0.462851	3.34366	0.791131	3.32753	0.469244	3.75271	0.849478	-0.224226	0.287931	3.97466	0.152341	5.15117	0.462851	3.34366	0.791131	3.32753	0.469244	3.75271	0.849478	-0.224226
0.290393	3.86387	0.155582	5.16927	0.464998	3.48983	0.793223	3.33099	0.471597	3.73758	0.849353	-0.171651	0.290393	3.86387	0.155582	5.16927	0.464998	3.48983	0.793223	3.33099	0.471597	3.73758	0.849353	-0.171651
0.292785	3.75495	0.158835	5.1868	0.467236	3.63465	0.795316	3.33378	0.47394	3.72133	0.849262	-0.118104	0.292785	3.75495	0.158835	5.1868	0.467236	3.63465	0.795316	3.33378	0.47394	3.72133	0.849262	-0.118104
0.29511	3.64812	0.162099	5.20361	0.469564	3.77785	0.797411	3.33577	0.476272	3.70393	0.849205	-0.0635901	0.29511	3.64812	0.162099	5.20361	0.469564	3.77785	0.797411	3.33577	0.476272	3.70393	0.849205	-0.0635901
0.297369	3.54387	0.165372	5.21984	0.471982	3.91899	0.799507	3.33693	0.478593	3.68543	0.849182	-0.00822747	0.297369	3.54387	0.165372	5.21984	0.471982	3.91899	0.799507	3.33693	0.478593	3.68543	0.849182	-0.00822747
0.299562	3.44248	0.168656	5.23557	0.47416	4.04002	0.801603	3.3374	0.480902	3.66591	0.849195	0.0479627	0.299562	3.44248	0.168656	5.23557	0.47416	4.04002	0.801603	3.3374	0.480902	3.66591	0.849195	0.0479627
0.301693	3.34421	0.17195	5.25064	0.476069	4.14163	0.803699	3.33716	0.483198	3.64534	0.849243	0.105048	0.301693	3.34421	0.17195	5.25064	0.476069	4.14163	0.803699	3.33716	0.483198	3.64534	0.849243	0.105048
0.303501	3.2614	0.175253	5.26512	0.477684	4.22431	0.805795	3.33623	0.485189	3.62661	0.849327	0.162944	0.303501	3.2614	0.175253	5.26512	0.477684	4.22431	0.805795	3.33623	0.485189	3.62661	0.849327	0.162944
0.305007	3.19289	0.178564	5.2792	0.478982	4.28895	0.807891	3.33459	0.486877	3.61002	0.849447	0.221594	0.305007	3.19289	0.178564	5.2792	0.478982	4.28895	0.807891	3.33459	0.486877	3.61002	0.849447	0.221594
0.306228	3.13784	0.181885	5.2927	0.47995	4.33588	0.809985	3.33229	0.488268	3.59601	0.849605	0.280991	0.306228	3.13784	0.181885	5.2927	0.47995	4.33588	0.809985	3.33229	0.488268	3.59601	0.849605	0.280991
0.307179	3.09551	0.185214	5.30568	0.480574	4.36566	0.812077	3.32943	0.489363	3.58461	0.8498	0.341123	0.307179	3.09551	0.185214	5.30568	0.480574	4.36566	0.812077	3.32943	0.489363	3.58461	0.8498	0.341123
0.30787	3.0648	0.18855	5.31817	0.48148	4.40815	0.814167	3.32588	0.490166	3.57592	0.850034	0.401963	0.30787	3.0648	0.18855	5.31817	0.48148	4.40815	0.814167	3.32588	0.490166	3.57592	0.850034	0.401963
0.308308	3.04546	0.191895	5.33021	0.482474	4.4539	0.816255	3.32172	0.490679	3.57051	0.850305	0.463349	0.308308	3.04546	0.191895	5.33021	0.482474	4.4539	0.816255	3.32172	0.490679	3.57051	0.850305	0.463349
0.308934	3.01831	0.195247	5.34182	0.483842	4.51545	0.818341	3.31708	0.491415	3.56259	0.850616	0.525395	0.308934	3.01831	0.195247	5.34182	0.483842	4.51545	0.818341	3.31708	0.491415	3.56259	0.850616	0.525395
0.309608	2.98918	0.198606	5.35297	0.4856	4.5918	0.820423	3.31182	0.492214	3.55367	0.850965	0.588107	0.309608	2.98918	0.198606	5.35297	0.4856	4.5918	0.820423	3.31182	0.492214	3.55367	0.850965	0.588107
0.310514	2.9504	0.201972	5.36365	0.487764	4.68235	0.822501	3.30609	0.493296	3.54165	0.851354	0.651284	0.310514	2.9504	0.201972	5.36365	0.487764	4.68235	0.822501	3.30609	0.493296	3.54165	0.851354	0.651284
0.311643	2.90298	0.205344	5.37393	0.490355	4.78566	0.824576	3.29985	0.49466	3.526	0.851783	0.714953	0.311643	2.90298	0.205344	5.37393	0.490355	4.78566	0.824576	3.29985	0.49466	3.526	0.851783	0.714953
