Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		475  Points		493  Points		474  Points		220  Points		129  Points		390  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
				0.358624	1.21587	0.185753	2.23703	0.357371	1.21094	0.71051	5.58836	0.856573	7.29923	0.588951	2.56092	0.773805	6.4181
				0.359174	1.21802	0.187838	2.2369	0.358501	1.21535	0.715681	5.51096	0.863351	7.24967	0.591308	2.49953	0.779785	6.41872
				0.359872	1.22093	0.189922	2.23675	0.359635	1.21994	0.720779	5.43293	0.86922	7.20565	0.593609	2.44075	0.785765	6.41672
				0.360718	1.2245	0.192006	2.23661	0.360774	1.22473	0.725805	5.35436	0.874194	7.16782	0.595856	2.38448	0.791742	6.41202
				0.361714	1.2288	0.194089	2.23646	0.361917	1.22968	0.730757	5.27538	0.878287	7.13644	0.598052	2.33064	0.797714	6.40469
				0.362862	1.23384	0.196173	2.23636	0.363066	1.23476	0.735635	5.19616	0.881511	7.11176	0.600199	2.27914	0.803677	6.39484
				0.364013	1.239	0.198257	2.23626	0.364218	1.23994	0.740439	5.11674	0.883874	7.09351	0.602299	2.22992	0.80963	6.38252
				0.36517	1.24432	0.20034	2.23615	0.365376	1.24523	0.745169	5.03722	0.885384	7.08194	0.604354	2.18286	0.81557	6.36775
				0.366332	1.24969	0.202423	2.23601	0.366539	1.25067	0.749825	4.9578	0.887549	7.06548	0.606366	2.13787	0.821495	6.35062
				0.367499	1.25516	0.204507	2.23587	0.367706	1.25617	0.754408	4.87851	0.889897	7.04759	0.608338	2.0949	0.827404	6.33118
				0.368671	1.26075	0.20659	2.23577	0.368879	1.26173	0.758916	4.79945	0.893081	7.02362	0.61027	2.05387	0.833293	6.30949
				0.369848	1.26637	0.208673	2.23571	0.370058	1.26741	0.763351	4.72082	0.897092	6.99373	0.612165	2.01467	0.839161	6.28564
				0.371031	1.27207	0.210756	2.23561	0.371241	1.27311	0.767713	4.64261	0.90192	6.95839	0.614024	1.97724	0.845005	6.25962
				0.372219	1.27789	0.212838	2.23549	0.37243	1.27889	0.772002	4.56494	0.907553	6.91821	0.615849	1.94153	0.850825	6.23152
				0.373412	1.28373	0.214921	2.23539	0.373624	1.28474	0.776219	4.48798	0.913978	6.87391	0.617642	1.90745	0.856617	6.20143
				0.374611	1.28957	0.217004	2.23527	0.374824	1.29063	0.780365	4.41171	0.920362	6.83169	0.619404	1.87492	0.86238	6.16939
				0.375815	1.2955	0.219086	2.23521	0.376029	1.29655	0.78444	4.33622	0.926708	6.79176	0.621136	1.8439	0.868113	6.13543
				0.377025	1.30147	0.221169	2.23514	0.37724	1.30251	0.788445	4.26164	0.933018	6.75411	0.62284	1.81425	0.873813	6.09966
				0.37824	1.30742	0.223251	2.23503	0.378456	1.30849	0.792381	4.18798	0.939294	6.71858	0.624516	1.78603	0.879479	6.06215
				0.379461	1.31343	0.225334	2.23494	0.379678	1.31448	0.796249	4.11534	0.945537	6.68511	0.626168	1.75909	0.885109	6.02288
				0.380687	1.31944	0.227416	2.23486	0.380906	1.32056	0.800049	4.04378	0.95175	6.65357	0.627794	1.73336	0.890702	5.98201
