Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
459  Points		492  Points		459  Points		141  Points		111  Points		103  Points		323  Points		121  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.428043	4.39493	0.206802	2.12309	0.427804	4.4015	0.861239	8.83962	0.995319	10.2424			0.710596	7.28503	0.931244	9.5989
0.429161	4.36466	0.208886	2.12417	0.428921	4.37109	0.866773	8.81215	1.00217	10.2149			0.713147	7.24201	0.938111	9.57771
0.430281	4.33497	0.21097	2.12523	0.430041	4.34128	0.872236	8.78448					0.715644	7.19925	0.944958	9.5567
0.431403	4.30586	0.213054	2.12627	0.431162	4.31204	0.877627	8.75661					0.718089	7.15676	0.951782	9.53586
0.432528	4.27731	0.215138	2.12728	0.432287	4.28337	0.882947	8.72855					0.720482	7.11456	0.958582	9.51517
0.433655	4.24931	0.217222	2.12828	0.433413	4.25526	0.888195	8.7003					0.722827	7.07264	0.965356	9.4946
0.434785	4.22184	0.219306	2.12926	0.434543	4.22767	0.893372	8.67186					0.725124	7.03102	0.972102	9.47414
0.435918	4.19489	0.221389	2.13022	0.435675	4.20061	0.898477	8.64325					0.727376	6.98971	0.97882	9.45376
0.437054	4.16845	0.223473	2.13117	0.436811	4.17407	0.903512	8.61448					0.729584	6.94872	0.985507	9.43346
0.438194	4.14251	0.225557	2.13209	0.43795	4.14802	0.908476	8.58554					0.73175	6.90804	0.992162	9.41322
0.439337	4.11705	0.22764	2.133	0.439092	4.12246	0.913369	8.55644					0.733875	6.8677	0.998784	9.39302
0.440483	4.09206	0.229724	2.1339	0.440237	4.09737	0.918192	8.5272					0.73596	6.82768	1.00537	9.37285
0.441633	4.06754	0.231807	2.13478	0.441386	4.07275	0.922946	8.49782					0.738008	6.78801		
0.442786	4.04346	0.233891	2.13564	0.442539	4.04858	0.927631	8.46831					0.740019	6.74868		
0.443943	4.01983	0.235974	2.13649	0.443695	4.02485	0.932248	8.43868					0.741996	6.70969		
0.445104	3.99662	0.238057	2.13732	0.444855	4.00156	0.936797	8.40894					0.743938	6.67105		
0.446269	3.97384	0.240141	2.13814	0.446019	3.97868	0.941278	8.37909					0.745848	6.63276		
0.447438	3.95146	0.242224	2.13894	0.447187	3.95622	0.945693	8.34914					0.747727	6.59483		
0.448611	3.92949	0.244307	2.13973	0.448359	3.93416	0.950042	8.31911					0.749575	6.55725		
0.449788	3.90791	0.24639	2.14051	0.449535	3.9125	0.954326	8.289					0.751395	6.52002		
0.450969	3.88671	0.248473	2.14128	0.450716	3.89121	0.958545	8.25881					0.753186	6.48316		
0.452154	3.86588	0.250557	2.14203	0.4519	3.87031	0.962701	8.22857					0.754951	6.44665		
0.453344	3.84542	0.25264	2.14277	0.453089	3.84977	0.966794	8.19826					0.75669	6.4105		
0.454537	3.82531	0.254723	2.1435	0.454282	3.82959	0.970825	8.16792					0.758404	6.3747		
0.455736	3.80556	0.256806	2.14422	0.455479	3.80976	0.974795	8.13753					0.760095	6.33926		
0.456938	3.78614	0.258888	2.14492	0.45668	3.79027	0.978705	8.10711					0.761762	6.30418		
0.458145	3.76706	0.260971	2.14562	0.457886	3.77112	0.982555	8.07667					0.763407	6.26946		
0.459356	3.7483	0.263054	2.1463	0.459096	3.75229	0.986346	8.04621					0.765031	6.23509		
0.460572	3.72987	0.265137	2.14697	0.460311	3.73379	0.99008	8.01575					0.766635	6.20107		
0.461792	3.71174	0.26722	2.14764	0.46153	3.7156	0.993757	7.98528					0.768219	6.16741		
0.463017	3.69392	0.269303	2.14829	0.462754	3.69771	0.997378	7.95482					0.769784	6.13409		
0.464246	3.6764	0.271385	2.14893	0.463982	3.68013	1.00094	7.92438					0.771331	6.10112		
0.46548	3.65918	0.273468	2.14957	0.465215	3.66284							0.772861	6.0685		
0.466718	3.64223	0.275551	2.15019	0.466452	3.64584							0.774374	6.03622		
0.467961	3.62557	0.277633	2.1508	0.467694	3.62911							0.775871	6.00428		
0.469208	3.60918	0.279716	2.15141	0.46894	3.61267							0.777353	5.97268		
0.47046	3.59306	0.281799	2.15201	0.470191	3.59649							0.778819	5.94142		
0.471716	3.5772	0.283881	2.15259	0.471447	3.58057							0.780272	5.91049		
0.472977	3.5616	0.285964	2.15317	0.472707	3.56492							0.78171	5.87989		
0.474243	3.54625	0.288046	2.15374	0.473971	3.54951							0.783136	5.84962		
0.475513	3.53114	0.290129	2.15431	0.47524	3.53436							0.784549	5.81968		
0.476787	3.51628	0.292211	2.15486	0.476514	3.51944							0.78595	5.79005		
0.478067	3.50166	0.294293	2.15541	0.477792	3.50477							0.78734	5.76075		
0.47935	3.48726	0.296376	2.15595	0.479075	3.49032							0.788718	5.73176		
0.480639	3.47309	0.298458	2.15648	0.480362	3.47611							0.790085	5.70308		
0.481931	3.45915	0.30054	2.15701	0.481654	3.46211							0.791443	5.67472		
0.483229	3.44542	0.302623	2.15753	0.482951	3.44834							0.792791	5.64666		
0.484531	3.4319	0.304705	2.15804	0.484252	3.43478							0.794129	5.6189		
0.485837	3.4186	0.306787	2.15854	0.485557	3.42143							0.795458	5.59145		
0.487148	3.40549	0.30887	2.15904	0.486867	3.40828							0.796778	5.56429		
0.488464	3.39259	0.310952	2.15953	0.488181	3.39534							0.798091	5.53742		
0.489783	3.37989	0.313034	2.16001	0.4895	3.38259							0.799395	5.51085		
0.491108	3.36738	0.315116	2.16049	0.490824	3.37004							0.800692	5.48456		
0.492437	3.35506	0.317198	2.16096	0.492152	3.35768							0.801982	5.45856		
0.49377	3.34292	0.319281	2.16143	0.493484	3.3455							0.803265	5.43284		
0.495108	3.33096	0.321363	2.16189	0.494821	3.33351							0.804541	5.4074		
0.49645	3.31919	0.323445	2.16234	0.496162	3.3217							0.80581	5.38223		
0.497796	3.30759	0.325527	2.16279	0.497507	3.31006							0.807074	5.35733		
0.499147	3.29616	0.327609	2.16323	0.498857	3.29859							0.808332	5.3327		
0.500502	3.2849	0.329691	2.16367	0.500212	3.28729							0.809585	5.30834		
0.501862	3.2738	0.331773	2.1641	0.50157	3.27616							0.810832	5.28423		
0.503226	3.26287	0.333855	2.16453	0.502933	3.26519							0.812075	5.26039		
0.504594	3.25209	0.335937	2.16495	0.5043	3.25439							0.813312	5.2368		
0.505966	3.24147	0.338019	2.16536	0.505672	3.24373							0.814545	5.21347		
0.507343	3.23101	0.340101	2.16578	0.507048	3.23323							0.815774	5.19038		
0.508724	3.22069	0.342183	2.16618	0.508428	3.22289							0.816999	5.16754		
0.510109	3.21052	0.344265	2.16658	0.509812	3.21269							0.81822	5.14494		
0.511498	3.2005	0.346347	2.16698	0.5112	3.20263							0.819437	5.12258		
0.512892	3.19062	0.348429	2.16737	0.512593	3.19272							0.820651	5.10046		
0.514289	3.18088	0.350511	2.16776	0.51399	3.18295							0.821861	5.07858		
0.515691	3.17127	0.352593	2.16814	0.515391	3.17332							0.823069	5.05693		
0.517097	3.1618	0.354675	2.16852	0.516796	3.16382							0.824273	5.0355		
0.518507	3.15247	0.356756	2.16889	0.518205	3.15445							0.825475	5.0143		
0.519921	3.14326	0.358838	2.16926	0.519618	3.14522							0.826674	4.99333		
0.521339	3.13418	0.36092	2.16963	0.521035	3.13611							0.82787	4.97257		
0.522761	3.12522	0.363002	2.16999	0.522457	3.12713							0.829065	4.95203		
0.524188	3.11639	0.365084	2.17034	0.523882	3.11827							0.830257	4.93171		
0.525618	3.10768	0.367165	2.1707	0.525311	3.10953							0.831447	4.9116		
0.527052	3.09908	0.369247	2.17104	0.526744	3.10092							0.832636	4.8917		
0.52849	3.09061	0.371329	2.17139	0.528181	3.09241							0.833823	4.872		
0.529932	3.08225	0.373411	2.17173	0.529623	3.08403							0.835008	4.85251		
0.531377	3.074	0.375492	2.17207	0.531067	3.07575							0.836191	4.83322		
0.532827	3.06586	0.377574	2.1724	0.532516	3.06759							0.837374	4.81413		
0.53428	3.05783	0.379656	2.17273	0.533969	3.05954							0.838555	4.79523		
0.535738	3.04991	0.381737	2.17306	0.535425	3.05159							0.839735	4.77653		
0.537199	3.04209	0.383819	2.17338	0.536886	3.04375							0.840914	4.75802		
0.538664	3.03437	0.385901	2.1737	0.53835	3.03602							0.842092	4.7397		
0.540132	3.02676	0.387982	2.17402	0.539817	3.02838							0.84327	4.72157		
0.541604	3.01925	0.390064	2.17433	0.541289	3.02085							0.844446	4.70362		
0.54308	3.01183	0.392146	2.17464	0.542764	3.01341							0.845622	4.68585		
