Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
410  Points		410  Points		394  Points		365  Points		263  Points		157  Points		410  Points		384  Points		366  Points		267  Points		135  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.11299	2.44385	1.11153	2.44355	0.600807	4.92283	0.830576	6.83958	1.11441	8.58469	1.29642	10.0797	0.410513	3.38865	1.08609	2.59821	0.840187	6.92684	1.0651	8.28985	1.38816	10.6941
1.10909	2.44303	1.10763	2.44272	0.602434	4.87847	0.831507	6.76682	1.1156	8.49935	1.29733	9.97476	0.412308	3.36339	1.0823	2.59811	0.841839	6.85884	1.06594	8.20419	1.38868	10.5805
1.10518	2.4422	1.10373	2.44189	0.604029	4.83487	0.832492	6.69617	1.11677	8.41567	1.29827	9.87247	0.414069	3.33845	1.07851	2.59802	0.843463	6.7922	1.0667	8.13134	1.38919	10.4692
1.10128	2.44137	1.09983	2.44106	0.605591	4.79201	0.833528	6.62757	1.1179	8.3336	1.29926	9.77269	0.415801	3.31385	1.07473	2.59794	0.84506	6.72687	1.06738	8.07053	1.38967	10.3601
1.09739	2.44054	1.09593	2.44023	0.607122	4.74987	0.834616	6.56092	1.11901	8.25307	1.30028	9.67535	0.417503	3.28957	1.07095	2.59788	0.846629	6.66281	1.06796	8.02112	1.39013	10.2532
1.09349	2.43971	1.09204	2.4394	0.608621	4.70843	0.835755	6.49616	1.11996	8.18414	1.30134	9.58036	0.419177	3.26562	1.06719	2.59784	0.848171	6.59997	1.06842	7.98259	1.39057	10.1484
1.0896	2.43888	1.08815	2.43857	0.61009	4.66767	0.836945	6.43324	1.12075	8.12625	1.30244	9.48766	0.420825	3.242	1.06343	2.59782	0.849685	6.53832	1.06877	7.95457	1.39098	10.0456
1.08571	2.43805	1.08426	2.43774	0.611527	4.62757	0.838185	6.37207	1.1214	8.07899	1.30358	9.39715	0.422448	3.21872	1.05968	2.59783	0.851173	6.47782	1.069	7.93677	1.39138	9.94484
1.08182	2.43722	1.08037	2.43691	0.612935	4.58811	0.839474	6.31261	1.1219	8.042	1.30476	9.30879	0.424048	3.19576	1.05595	2.59786	0.852634	6.41844	1.06933	7.91136	1.39176	9.84598
1.07794	2.43639	1.07649	2.43608	0.614314	4.54928	0.840812	6.25478	1.12227	8.01501	1.30598	9.22249	0.425626	3.17314	1.05222	2.59792	0.854069	6.36014	1.06969	7.88399	1.39213	9.749
