Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
396  Points		395  Points		392  Points		365  Points		241  Points		132  Points		406  Points		378  Points		327  Points		257  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.03224	2.44286	1.03026	2.44276	0.637426	4.778	0.865666	6.53659	1.18451	8.74482	1.34504	9.53358	0.445113	3.34251	1.056	2.65482	0.895226	6.7285	1.09683	8.22303
1.02864	2.44268	1.02667	2.44259	0.639227	4.74021	0.866855	6.47499	1.18488	8.70252	1.34671	9.44875	0.447131	3.32166	1.0536	2.65843	0.896799	6.66798	1.09795	8.1433
1.02505	2.44253	1.02308	2.44245	0.641001	4.70302	0.868088	6.41504	1.18534	8.6496	1.34841	9.36581	0.449121	3.30105	1.05123	2.66213	0.898348	6.60858	1.0991	8.06552
1.02147	2.4424	1.01951	2.44234	0.642747	4.66642	0.869364	6.35666	1.18589	8.58645	1.35013	9.2847	0.451084	3.28068	1.04888	2.66594	0.899876	6.55027	1.10029	7.98964
1.0179	2.44229	1.01595	2.44225	0.644465	4.63037	0.870683	6.29982	1.18653	8.51353	1.35165	9.21546	0.453022	3.26054	1.04657	2.66985	0.901381	6.49301	1.10152	7.91559
1.01434	2.44222	1.0124	2.44219	0.646156	4.59487	0.872045	6.24446	1.18725	8.43135	1.35297	9.15748	0.454934	3.24064	1.04428	2.67386	0.902864	6.43677	1.10278	7.84331
1.0108	2.44217	1.00886	2.44215	0.647821	4.55991	0.873449	6.19053	1.18795	8.35074	1.35406	9.11023	0.456824	3.22098	1.04202	2.67796	0.904326	6.38152	1.10408	7.77275
1.00726	2.44215	1.00533	2.44215	0.649459	4.52546	0.874895	6.13799	1.18864	8.27164	1.35494	9.07332	0.458691	3.20156	1.03978	2.68216	0.905766	6.32724	1.10541	7.70385
1.00374	2.44215	1.00182	2.44217	0.651072	4.49152	0.876383	6.08679	1.18931	8.19403	1.35558	9.04642	0.460536	3.18238	1.03756	2.68644	0.907186	6.2739	1.10678	7.63657
1.00023	2.44219	0.998316	2.44223	0.652659	4.45808	0.877912	6.0369	1.18997	8.11786	1.356	9.02931	0.462363	3.16345	1.03537	2.69082	0.908585	6.22147	1.10818	7.57085
0.996737	2.44227	0.994827	2.44232	0.654221	4.42513	0.879481	5.98825	1.19062	8.04309	1.3566	9.00486	0.46417	3.14476	1.0332	2.69528	0.909965	6.16994	1.10962	7.50664
0.993255	2.44237	0.991352	2.44244	0.655759	4.39264	0.88109	5.94082	1.19126	7.96969	1.35725	8.97848	0.465961	3.12632	1.03104	2.69983	0.911326	6.11928	1.11109	7.4439
0.989786	2.44251	0.987891	2.4426	0.657274	4.36063	0.882739	5.89457	1.19189	7.89762	1.35815	8.94293	0.467736	3.10813	1.02891	2.70447	0.912668	6.06947	1.1126	7.38259
0.986332	2.44269	0.984444	2.4428	0.658765	4.32907	0.884425	5.84946	1.1925	7.82686	1.35929	8.89847	0.469497	3.09019	1.0268	2.7092	0.913993	6.02049	1.11413	7.32265
0.982891	2.4429	0.981012	2.44303	0.660234	4.29795	0.88615	5.80544	1.19311	7.75736	1.36068	8.84548	0.471244	3.0725	1.0247	2.71401	0.9153	5.97232	1.1157	7.26404
0.979465	2.44315	0.977594	2.4433	0.661681	4.26728	0.887911	5.76249	1.19371	7.68911	1.36232	8.78434	0.47298	3.05507	1.02263	2.7189	0.916592	5.92494	1.1173	7.20674
0.976054	2.44344	0.974192	2.44361	0.663108	4.23704	0.889709	5.72057	1.1943	7.62206	1.36423	8.71552	0.474705	3.03789	1.02057	2.72388	0.917868	5.87835	1.11893	7.15068
0.972659	2.44377	0.970804	2.44397	0.664514	4.20722	0.891541	5.67964	1.19489	7.5562	1.36615	8.64809	0.47642	3.02097	1.01853	2.72894	0.919129	5.83251	1.12059	7.09584
0.969279	2.44414	0.967433	2.44436	0.6659	4.17782	0.893408	5.63968	1.19547	7.49149	1.3681	8.582	0.478128	3.0043	1.0165	2.73409	0.920377	5.78742	1.12228	7.04218
0.965914	2.44455	0.964077	2.4448	0.667268	4.14883	0.895309	5.60065	1.19605	7.42792	1.37007	8.51722	0.47983	2.98789	1.01449	2.73932	0.921611	5.74306	1.124	6.98967
0.962566	2.44501	0.960738	2.44528	0.668618	4.12025	0.897242	5.56251	1.19662	7.36545	1.37205	8.4537	0.481525	2.97174	1.0125	2.74463	0.922834	5.69941	1.12575	6.93826
0.959234	2.44551	0.957415	2.44581	0.669951	4.09207	0.899206	5.52525	1.19719	7.30406	1.37405	8.39141	0.483217	2.95585	1.01052	2.75003	0.924046	5.65648	1.12752	6.88792
0.955919	2.44606	0.95411	2.44638	0.671268	4.06428	0.901201	5.48883	1.19776	7.24373	1.37607	8.3303	0.484905	2.94022	1.00855	2.7555	0.925249	5.61423	1.12932	6.83863
0.952621	2.44666	0.950821	2.44701	0.672569	4.03688	0.903226	5.45322	1.19832	7.18443	1.37811	8.27035	0.486591	2.92484	1.0066	2.76106	0.926442	5.57267	1.13115	6.79034
0.94934	2.4473	0.947549	2.44768	0.673856	4.00986	0.905279	5.4184	1.19889	7.12615	1.38016	8.21152	0.488277	2.90973	1.00467	2.76671	0.927628	5.53177	1.133	6.74303
0.946076	2.448	0.944295	2.4484	0.675129	3.98323	0.90736	5.38434	1.19945	7.06885	1.38222	8.15378	0.489962	2.89487	1.00274	2.77243	0.928807	5.49154	1.13488	6.69667
0.94283	2.44875	0.941059	2.44918	0.676389	3.95696	0.909467	5.35101	1.20002	7.01254	1.3843	8.09709	0.491649	2.88028	1.00084	2.77824	0.92998	5.45195	1.13678	6.65124
