Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
343  Points		344  Points		201  Points		140  Points		289  Points		289  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.41644	2.61595	0.31529	4.77232	0.752916	7.46635	0.945483	5.93662	0.634488	3.41308	0.63546	3.39576	0.94075	4.95434
0.418216	2.63904	0.318515	4.7699	0.757943	7.40855	0.94951	5.98022	0.636781	3.37242	0.637742	3.35562	0.944116	5.00543
0.420007	2.6622	0.321738	4.76749	0.762931	7.348	0.953568	6.02553	0.639047	3.33296	0.639997	3.31666	0.947517	5.0543
0.421815	2.68539	0.32496	4.76502	0.767877	7.28466	0.957656	6.07263	0.641287	3.2948	0.642225	3.27906	0.950949	5.10107
0.423638	2.7086	0.32818	4.76257	0.772779	7.21862	0.961777	6.1215	0.643501	3.258	0.644429	3.2428	0.953965	5.13997
0.425476	2.73171	0.331398	4.76013	0.777635	7.1499	0.965931	6.1719	0.645691	3.22244	0.646609	3.20786	0.956554	5.17184
0.42733	2.75477	0.334615	4.7576	0.782444	7.07855	0.97012	6.22393	0.647858	3.18826	0.648766	3.17423	0.958707	5.19718
0.4292	2.77781	0.33783	4.75513	0.787204	7.00476	0.9738	6.2704	0.650001	3.15547	0.6509	3.14198	0.960417	5.21667
0.431086	2.80074	0.341043	4.75263	0.791913	6.92854	0.976958	6.31091	0.652123	3.12398	0.653013	3.11111	0.961678	5.23068
0.432986	2.82362	0.344254	4.75012	0.79657	6.85	0.979586	6.34487	0.654224	3.09385	0.655106	3.08154	0.962487	5.23944
0.434903	2.84631	0.347464	4.74765	0.801174	6.76923	0.981673	6.37196	0.656306	3.06505	0.657179	3.05328	0.963652	5.25184
0.436834	2.86886	0.350672	4.7451	0.805721	6.68635	0.983214	6.39221	0.658368	3.03763	0.659234	3.02642	0.964921	5.26504
0.438781	2.89134	0.353879	4.74257	0.810213	6.60159	0.984202	6.40532	0.660412	3.0115	0.66127	3.00088	0.966652	5.28245
0.440743	2.91359	0.357084	4.74004	0.814646	6.5151	0.985627	6.424	0.662439	2.98667	0.66329	2.97655	0.96885	5.30377
0.44272	2.93567	0.360287	4.73751	0.81902	6.42698	0.98718	6.44446	0.66445	2.96316	0.665294	2.95359	0.97152	5.3285
0.444711	2.95756	0.363488	4.73498	0.823334	6.33733	0.989301	6.4727	0.666445	2.9409	0.667283	2.93191	0.974667	5.35583
0.446718	2.97931	0.366688	4.73251	0.827587	6.24647	0.991996	6.50847	0.668425	2.91992	0.669258	2.91142	0.978297	5.38519
0.448739	3.00083	0.369886	4.73001	0.831778	6.1546	0.995274	6.5522	0.670392	2.9002	0.671219	2.8922	0.981947	5.41239
0.450775	3.02214	0.373082	4.72745	0.835907	6.06183	0.999149	6.60397	0.672346	2.88166	0.673168	2.87421	0.985614	5.43745
0.452824	3.0433	0.376276	4.72491	0.839973	5.96834	1.00363	6.63381	0.674288	2.86431	0.675104	2.85733	0.989297	5.46033
0.454889	3.06418	0.379469	4.72237	0.843975	5.87445			0.676218	2.84811	0.67703	2.84163	0.992995	5.48101
0.456967	3.08481	0.38266	4.7199	0.847914	5.78031			0.678138	2.8331	0.678946	2.82711	0.996707	5.49957
0.459059	3.10527	0.38585	4.71739	0.851789	5.68604			0.680048	2.81918	0.680852	2.8136	1.00043	5.50835
0.461165	3.12545	0.389038	4.71493	0.855601	5.59196			0.681949	2.80632	0.682749	2.80119		
0.463284	3.14543	0.392224	4.71244	0.859349	5.49823			0.683842	2.79453	0.684639	2.78988		
0.465417	3.16521	0.395408	4.70988	0.863034	5.40497			0.685727	2.78374	0.686521	2.77948		
0.467563	3.18465	0.398591	4.70744	0.866656	5.31251			0.687605	2.77396	0.688396	2.7701		
0.469722	3.2039	0.401772	4.70496	0.870215	5.22094			0.689477	2.76513	0.690266	2.76172		
0.471894	3.22292	0.404951	4.7025	0.873713	5.13034			0.691343	2.75728	0.69213	2.7542		
0.474079	3.24167	0.408129	4.70007	0.877151	5.04102			0.693204	2.75028	0.693989	2.74761		
0.476276	3.26018	0.411305	4.69754	0.880528	4.95305			0.695061	2.7442	0.695844	2.74189		
0.478486	3.27842	0.414479	4.69511	0.883847	4.86656			0.696914	2.73894	0.697695	2.73696		
0.480708	3.29647	0.417652	4.69273	0.887107	4.78167			0.698763	2.7345	0.699544	2.73288		
0.482942	3.31428	0.420823	4.69029	0.890311	4.69839			0.70061	2.73086	0.70139	2.72958		
0.485189	3.33177	0.423992	4.68785	0.893459	4.61697			0.702455	2.72798	0.703234	2.72697		
0.487446	3.34899	0.42716	4.68547	0.896552	4.53744			0.704298	2.72584	0.705076	2.72511		
0.489716	3.36604	0.430326	4.68307	0.899592	4.45977			0.70614	2.72436	0.706918	2.72398		
0.491997	3.38283	0.433491	4.68066	0.902581	4.38413			0.707981	2.72367	0.708759	2.72352		
0.494289	3.39936	0.436654	4.67829	0.905519	4.31058			0.709822	2.72353	0.7106	2.72369		
0.496592	3.4157	0.439815	4.6759	0.908408	4.23902			0.711663	2.72401	0.712441	2.72443		
0.498906	3.43175	0.442975	4.67354	0.91125	4.16957			0.713504	2.72516	0.714283	2.72581		
0.501231	3.44749	0.446133	4.67125	0.914045	4.10224			0.715347	2.7269	0.716126	2.72776		
0.503567	3.46309	0.44929	4.66889	0.916795	4.03692			0.717191	2.72913	0.71797	2.73025		
0.505913	3.47846	0.452445	4.66655	0.919502	3.97377			0.719036	2.73191	0.719817	2.73326		
0.508269	3.49356	0.455598	4.66422	0.922167	3.91277			0.720884	2.73527	0.721665	2.73679		
0.510636	3.50843	0.45875	4.66189	0.924792	3.85375			0.722734	2.73902	0.723516	2.74077		
0.513012	3.52304	0.461901	4.65962	0.927377	3.79683			0.724587	2.74327	0.72537	2.74519		
0.515398	3.53746	0.465049	4.65737	0.929924	3.74197			0.726442	2.74797	0.727227	2.75007		
0.517794	3.55163	0.468197	4.65509	0.932435	3.6891			0.728301	2.75309	0.729088	2.75539		
0.5202	3.56559	0.471342	4.65284	0.934911	3.63818			0.730164	2.75863	0.730952	2.76113		
0.522614	3.57933	0.474486	4.6506	0.937354	3.5892			0.732031	2.76453	0.73282	2.76718		
0.525038	3.59286	0.477629	4.64832	0.939763	3.54214			0.733901	2.77086	0.734693	2.77358		
0.527471	3.60619	0.48077	4.64612	0.942142	3.49691			0.735776	2.77751	0.73657	2.78042		
0.529913	3.61922	0.48391	4.64391	0.944491	3.45344			0.737656	2.78447	0.738452	2.78752		
0.532364	3.63209	0.487048	4.64169	0.946811	3.41177			0.739541	2.79174	0.740338	2.79491		
0.534823	3.64478	0.490185	4.63953	0.949103	3.37191			0.74143	2.79936	0.74223	2.8027		
0.537291	3.65729	0.49332	4.63733	0.951369	3.33365			0.743325	2.80731	0.744127	2.81068		
0.539767	3.66955	0.496454	4.63517	0.953609	3.297			0.745225	2.81542	0.74603	2.81891		
0.542252	3.68154	0.499586	4.63298	0.955826	3.26202			0.747131	2.82382	0.747938	2.82746		
0.544744	3.69338	0.502717	4.63083	0.958019	3.22853			0.749043	2.83251	0.749852	2.83624		
0.547245	3.70506	0.505846	4.62874	0.96019	3.19649			0.75096	2.8414	0.751772	2.84527		
0.549753	3.71656	0.508974	4.62664	0.96234	3.16593			0.752884	2.85049	0.753698	2.85447		
0.552269	3.72785	0.512101	4.62453	0.96447	3.13682			0.754814	2.85983	0.755631	2.86382		
0.554792	3.73891	0.515226	4.62241	0.966581	3.10909			0.75675	2.86935	0.75757	2.8734		
0.557323	3.74978	0.51835	4.62034	0.968673	3.08261			0.758692	2.87905	0.759515	2.88318		
0.559861	3.76057	0.521472	4.61825	0.970748	3.0574			0.760642	2.88895	0.761467	2.89317		
0.562407	3.77111	0.524593	4.61614	0.972806	3.03349			0.762598	2.89895	0.763426	2.90326		
0.564959	3.78143	0.527712	4.61413	0.974849	3.01073			0.764561	2.90915	0.765392	2.91346		
0.567519	3.79164	0.53083	4.61212	0.976876	2.98911			0.766531	2.9195	0.767365	2.92385		
0.570085	3.80164	0.533947	4.6101	0.97889	2.96865			0.768507	2.92992	0.769345	2.9344		
0.572658	3.81154	0.537062	4.60808	0.98089	2.94929			0.770491	2.94048	0.771332	2.94498		
