Sym0		Asym0		Sym1		Asym1		Asym2	
341  Points		338  Points		214  Points		291  Points		291  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.673649	4.62546	0.684685	4.89144			0.838458	3.92143	0.839257	3.92746
0.676556	4.6313	0.687756	4.88661			0.840927	3.94012	0.84173	3.9461
0.679467	4.63705	0.690824	4.88181			0.843408	3.95865	0.844215	3.96465
0.682382	4.64269	0.693889	4.87701			0.8459	3.97704	0.846711	3.983
0.6853	4.64817	0.696951	4.87234			0.848404	3.99536	0.849218	4.00125
0.688221	4.65347	0.70001	4.86772			0.85092	4.01354	0.851737	4.01939
0.691146	4.65872	0.703066	4.86312			0.853446	4.03159	0.854268	4.03742
0.694074	4.6639	0.70612	4.8586			0.855985	4.04947	0.85681	4.05529
0.697005	4.66888	0.70917	4.85417			0.858534	4.06726	0.859363	4.07297
0.699939	4.67371	0.712218	4.84983			0.861094	4.08491	0.861927	4.09056
0.702877	4.67846	0.715263	4.84549			0.863666	4.10236	0.864502	4.10804
0.705817	4.68306	0.718305	4.8412			0.866248	4.11973	0.867087	4.12536
0.70876	4.68759	0.721345	4.83705			0.868841	4.13694	0.869684	4.1425
0.711706	4.69202	0.724382	4.83291			0.871445	4.15402	0.872292	4.15949
0.714655	4.6963	0.727416	4.82883			0.87406	4.17092	0.87491	4.17634
0.717606	4.70051	0.730448	4.82489			0.876685	4.18768	0.877538	4.19303
0.72056	4.70462	0.733478	4.82096			0.879321	4.20427	0.880177	4.20963
0.723516	4.70858	0.736505	4.8171			0.881967	4.22071	0.882827	4.22602
0.726475	4.71246	0.73953	4.81332			0.884623	4.23697	0.885487	4.2422
0.729437	4.71625	0.742552	4.80958			0.88729	4.25313	0.888156	4.25833
0.7324	4.71988	0.745572	4.80597			0.889967	4.26915	0.890836	4.27427
0.735366	4.72349	0.74859	4.80243			0.892653	4.28492	0.893526	4.29001
0.738334	4.72697	0.751605	4.79892			0.89535	4.30058	0.896226	4.30559
0.741305	4.73035	0.754619	4.79543			0.898056	4.31606	0.898935	4.32104
0.744277	4.73366	0.75763	4.79211			0.900772	4.33136	0.901654	4.33637
0.747252	4.7369	0.760639	4.78887			0.903497	4.34656	0.904383	4.35148
0.750228	4.74003	0.763646	4.78563			0.906233	4.3616	0.907121	4.36637
0.753206	4.74302	0.766651	4.78248			0.908977	4.37639	0.909869	4.3812
0.756187	4.74597	0.769654	4.77939			0.911731	4.39107	0.912625	4.39583
0.759169	4.74886	0.772655	4.77638			0.914493	4.40558	0.915391	4.41022
0.762153	4.75161	0.775655	4.77351			0.917265	4.41995	0.918166	4.42452
0.765138	4.75429	0.778652	4.77067			0.920046	4.43409	0.92095	4.43868
0.768125	4.75688	0.781648	4.76789			0.922836	4.44811	0.923742	4.45261
0.771114	4.75942	0.784642	4.76519			0.925634	4.46196	0.926543	4.46641
0.774105	4.76194	0.787635	4.76254			0.928441	4.47563	0.929353	4.48005
0.777097	4.76434	0.790625	4.75997			0.931257	4.48914	0.932172	4.4935
0.78009	4.76663	0.793615	4.75743			0.934081	4.50247	0.934998	4.50679
0.783085	4.76881	0.796602	4.75502			0.936913	4.51571	0.937833	4.5199
0.786081	4.77098	0.799588	4.75273			0.939754	4.52868	0.940677	4.53287
0.789079	4.77315	0.802573	4.75045			0.942603	4.54152	0.943528	4.54565
0.792078	4.77516	0.805556	4.74822			0.94546	4.55424	0.946387	4.55829
0.795078	4.77709	0.808538	4.74607			0.948324	4.5668	0.949255	4.5708
0.798079	4.77898	0.811519	4.74396			0.951197	4.57916	0.95213	4.58309
0.801082	4.78079	0.814498	4.74193			0.954077	4.59131	0.955012	4.59526
