Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
389  Points		390  Points		366  Points		199  Points		400  Points		295  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.512322	2.39301	0.513102	2.39609	0.774574	1.22833	0.992428	1.67836	0.579107	1.61425	0.776382	2.05933
0.509943	2.3832	0.51072	2.38646	0.775795	1.22389	0.994104	1.68716	0.580712	1.60946	0.77844	2.07185
0.507574	2.37287	0.508348	2.37629	0.777012	1.2196	0.995789	1.69577	0.582313	1.60494	0.780509	2.08404
0.505216	2.36207	0.505986	2.36565	0.778225	1.21545	0.997482	1.70423	0.583909	1.6006	0.782591	2.0959
0.502869	2.35071	0.503635	2.3545	0.779433	1.21143	0.999184	1.71249	0.585501	1.59648	0.784685	2.10755
0.500534	2.33882	0.501296	2.3428	0.780638	1.20756	1.00089	1.71658	0.587089	1.5926	0.786789	2.11892
0.49821	2.32631	0.498969	2.33047	0.781839	1.20376			0.588674	1.58888	0.788905	2.12998
0.495899	2.31316	0.496654	2.31752	0.783036	1.20013			0.590255	1.58538	0.791032	2.14075
0.493602	2.29943	0.494352	2.30401	0.78423	1.19666			0.591832	1.58211	0.79317	2.15117
0.491319	2.28506	0.492064	2.28983	0.78542	1.19328			0.593406	1.57909	0.795318	2.16136
0.48905	2.27	0.48979	2.27497	0.786607	1.19003			0.594978	1.57623	0.797476	2.17126
0.486797	2.25419	0.487532	2.25947	0.78779	1.18694			0.596546	1.57355	0.799643	2.18085
0.48456	2.23772	0.48529	2.24319	0.788971	1.184			0.598112	1.57108	0.80182	2.19015
0.482339	2.22056	0.483064	2.22625	0.790149	1.18115			0.599676	1.56885	0.804006	2.19913
0.480136	2.20261	0.480855	2.20856	0.791324	1.17842			0.601237	1.56683	0.806201	2.20791
0.477952	2.18388	0.478664	2.19008	0.792496	1.17589			0.602797	1.56495	0.808404	2.21634
0.475786	2.16445	0.476492	2.17089	0.793666	1.17345			0.604355	1.56327	0.810616	2.22445
0.47364	2.14431	0.474339	2.15097	0.794834	1.17111			0.605911	1.56183	0.812835	2.23236
0.471514	2.12335	0.472207	2.13027	0.795999	1.16889			0.607466	1.5605	0.815063	2.23991
0.46941	2.10162	0.470096	2.10882	0.797162	1.16688			0.60902	1.5594	0.817297	2.24719
0.467328	2.07921	0.468006	2.08663	0.798324	1.16496			0.610572	1.5585	0.819539	2.25422
0.465268	2.05606	0.465939	2.06373	0.799483	1.16313			0.612124	1.55775	0.821788	2.26094
0.463232	2.03222	0.463895	2.04012	0.800641	1.16144			0.613676	1.5572	0.824043	2.26737
0.46122	2.00775	0.461875	2.01578	0.801797	1.1599			0.615226	1.5568	0.826305	2.27353
0.459232	1.98255	0.45988	1.99084	0.802951	1.15848			0.616777	1.55655	0.828572	2.27943
0.457271	1.95677	0.457909	1.96532	0.804104	1.15716			0.618327	1.55647	0.830845	2.28498
0.455334	1.93053	0.455965	1.93915	0.805256	1.15603			0.619877	1.55661	0.833124	2.29031
