Sym0		Asym0		Sym1		Sym2		Asym1	
473  Points		491  Points		474  Points		213  Points		392  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.549411	1.83693	0.464944	2.2321	0.548389	1.83531			0.767076	1.35625
0.551123	1.83962	0.467024	2.23211	0.5501	1.83802			0.768341	1.35947
0.552839	1.84229	0.469104	2.23212	0.551814	1.84069			0.769609	1.36266
0.554556	1.8449	0.471183	2.23209	0.55353	1.84335			0.77088	1.36586
0.556276	1.84749	0.473263	2.23207	0.555249	1.84596			0.772154	1.36907
0.557999	1.8501	0.475342	2.23206	0.55697	1.84855			0.773431	1.37226
0.559724	1.85266	0.477422	2.23206	0.558694	1.85112			0.774711	1.37542
0.561451	1.85518	0.479502	2.23206	0.560419	1.85369			0.775994	1.37862
0.563181	1.85772	0.481581	2.23202	0.562148	1.85622			0.77728	1.38182
0.564913	1.8602	0.483661	2.23204	0.563878	1.85869			0.778569	1.38497
0.566647	1.86265	0.48574	2.23205	0.565611	1.86117			0.779861	1.38811
0.568384	1.86512	0.48782	2.23201	0.567346	1.86366			0.781156	1.39126
0.570122	1.86752	0.489899	2.232	0.569084	1.86607			0.782453	1.39444
0.571863	1.86993	0.491979	2.23199	0.570824	1.86849			0.783754	1.39758
0.573607	1.87231	0.494059	2.23199	0.572566	1.87091			0.785058	1.40072
0.575352	1.87467	0.496138	2.23198	0.57431	1.87325			0.786364	1.40386
0.5771	1.87702	0.498218	2.23198	0.576056	1.87563			0.787674	1.40693
0.57885	1.8793	0.500297	2.23195	0.577805	1.87796			0.788986	1.41008
0.580602	1.88161	0.502377	2.23196	0.579556	1.88025			0.790301	1.41319
0.582356	1.8839	0.504456	2.23197	0.581308	1.88254			0.791619	1.41629
0.584112	1.88618	0.506536	2.23194	0.583063	1.88482			0.79294	1.41941
0.585871	1.88842	0.508615	2.23193	0.584821	1.88705			0.794264	1.42247
0.587631	1.8906	0.510695	2.23192	0.58658	1.88927			0.795591	1.42554
0.589394	1.89279	0.512774	2.23191	0.588341	1.89151			0.79692	1.42861
0.591158	1.89498	0.514854	2.23191	0.590104	1.8937			0.798253	1.43165
0.592925	1.89714	0.516933	2.23191	0.59187	1.89585			0.799588	1.43471
0.594693	1.89928	0.519012	2.23191	0.593637	1.89799			0.800926	1.43778
0.596464	1.90141	0.521092	2.23187	0.595406	1.90016			0.802267	1.44081
0.598236	1.90351	0.523171	2.23189	0.597178	1.90227			0.803611	1.44383
0.600011	1.90561	0.525251	2.2319	0.598951	1.90435			0.804958	1.44684
0.601787	1.90766	0.52733	2.23187	0.600726	1.90641			0.806307	1.44981
0.603566	1.9097	0.52941	2.23185	0.602504	1.90847			0.807659	1.45283
0.605346	1.91175	0.531489	2.23184	0.604283	1.91053			0.809014	1.45585
0.607128	1.91373	0.533568	2.23184	0.606064	1.91254			0.810372	1.45882
0.608912	1.91574	0.535648	2.23184	0.607846	1.91454			0.811733	1.46177
0.610698	1.91774	0.537727	2.23184	0.609631	1.91653			0.813096	1.46475
0.612485	1.91969	0.539807	2.2318	0.611418	1.91851			0.814462	1.4677
0.614275	1.92161	0.541886	2.23182	0.613206	1.92049			0.815831	1.4706
0.616066	1.92353	0.543965	2.23183	0.614996	1.92243			0.817202	1.47356
0.617859	1.92548	0.546045	2.23179	0.616788	1.92432			0.818577	1.4765
0.619654	1.92737	0.548124	2.23178	0.618582	1.92621			0.819954	1.4794
0.621451	1.92923	0.550203	2.23181	0.620378	1.92811			0.821333	1.48228
0.623249	1.93111	0.552283	2.23179	0.622175	1.92998			0.822716	1.48518
0.625049	1.93293	0.554362	2.23177	0.623974	1.93183			0.824101	1.4881
