Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
466  Points		496  Points		225  Points		193  Points		180  Points		125  Points		329  Points		205  Points		168  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.36389	2.72993	0.158347	2.24754	0.460188	4.30457	0.586128	3.25013	0.687813	2.90101	0.928081	2.09703	0.43035	4.60037	0.567637	3.23363	0.793673	2.25383
0.366404	2.66734	0.16044	2.24713	0.464219	4.34652	0.589176	3.29359	0.690526	2.92258	0.92878	2.10385	0.434633	4.59468	0.570659	3.25341	0.795782	2.27326
0.36886	2.60697	0.162534	2.24671	0.468288	4.38643	0.592265	3.33631	0.693259	2.94398	0.929734	2.11299	0.438912	4.5885	0.573699	3.27289	0.797909	2.2925
0.371262	2.54877	0.164627	2.24628	0.472393	4.42429	0.595393	3.37829	0.696012	2.96516	0.930947	2.12462	0.443184	4.58179	0.576758	3.29216	0.800054	2.3116
0.37361	2.49282	0.16672	2.24588	0.476532	4.46011	0.59856	3.41949	0.698784	2.98614	0.932422	2.13858	0.447449	4.57451	0.579834	3.31124	0.802216	2.33053
0.375907	2.43918	0.168812	2.2455	0.480703	4.49391	0.601765	3.4599	0.701576	3.00693	0.934165	2.15488	0.451708	4.5667	0.582928	3.33008	0.804396	2.34926
0.378155	2.38775	0.170904	2.24512	0.484906	4.52567	0.605007	3.49952	0.704388	3.0275	0.936181	2.17343	0.455959	4.5584	0.586039	3.34877	0.806594	2.36781
0.380356	2.33852	0.172995	2.24475	0.489137	4.55544	0.608286	3.53833	0.707218	3.04789	0.938215	2.19186	0.460202	4.5496	0.589168	3.3673	0.808808	2.38617
0.382512	2.2915	0.175087	2.24439	0.493394	4.58332	0.6116	3.57638	0.710067	3.06813	0.940266	2.2102	0.464436	4.54025	0.592314	3.38561	0.81104	2.4044
0.384626	2.2466	0.177178	2.24402	0.497677	4.60931	0.61495	3.6136	0.712935	3.0882	0.942333	2.22833	0.468662	4.53034	0.595477	3.40382	0.813289	2.42241
0.386699	2.20382	0.179268	2.24369	0.501983	4.63344	0.618334	3.65005	0.715821	3.10806	0.944418	2.2463	0.472878	4.5199	0.598657	3.42189	0.815554	2.44024
0.388733	2.1631	0.181358	2.24334	0.506311	4.65583	0.621751	3.68574	0.718726	3.1278	0.946519	2.26415	0.477084	4.50892	0.601853	3.43979	0.817836	2.45798
0.390729	2.12428	0.183448	2.24302	0.510659	4.67655	0.625202	3.72058	0.72165	3.14737	0.948637	2.2819	0.48128	4.49739	0.605066	3.45756	0.820134	2.47553
0.392691	2.08737	0.185538	2.24271	0.515025	4.69566	0.628684	3.75466	0.724591	3.16675	0.950771	2.29949	0.485465	4.48533	0.608296	3.47528	0.822449	2.49288
0.394619	2.05228	0.187627	2.24241	0.519409	4.71316	0.632198	3.78793	0.727551	3.186	0.952922	2.31693	0.489638	4.47267	0.611542	3.49288	0.824779	2.51008
0.396515	2.019	0.189717	2.24212	0.523808	4.7292	0.635743	3.82042	0.730528	3.20511	0.955089	2.33421	0.493799	4.45949	0.614804	3.5104	0.827126	2.52715
0.398381	1.98741	0.191805	2.24179	0.528221	4.74384	0.639317	3.85219	0.733523	3.22411	0.957271	2.35139	0.497948	4.4458	0.618083	3.52788	0.829488	2.54406
0.400219	1.95737	0.193894	2.24151	0.532647	4.75706	0.642921	3.88316	0.736536	3.24299	0.95947	2.36844	0.502083	4.43152	0.621378	3.54526	0.831867	2.56083
0.402029	1.92891	0.195982	2.24126	0.537085	4.76902	0.646553	3.91341	0.739566	3.26169	0.961685	2.38531	0.506205	4.41665	0.624689	3.56259	0.83426	2.57746
0.403813	1.90201	0.19807	2.24099	0.541534	4.77976	0.650213	3.94288	0.742614	3.28031	0.963915	2.40206	0.510313	4.40123	0.628017	3.57987	0.836669	2.59394
0.405573	1.87644	0.200158	2.24071	0.545992	4.7893	0.6539	3.97161	0.745678	3.29881	0.966161	2.41868	0.514407	4.38525	0.63136	3.59711	0.839094	2.61023
0.407309	1.85223	0.202246	2.24046	0.550458	4.79774	0.657614	3.99964	0.748761	3.31718	0.968422	2.43515	0.518485	4.36872	0.63472	3.61437	0.841533	2.62644
