Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
416  Points		417  Points		394  Points		365  Points		294  Points		172  Points		411  Points		397  Points		371  Points		268  Points		172  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.08186	2.43619	1.08303	2.43647	0.605777	4.28353	0.83494	5.91196	1.09459	7.70894	1.29459	8.65388	0.420865	2.97932	1.08117	2.59919	0.841448	5.92028	1.05946	7.44958	1.35826	9.08216
1.07793	2.43526	1.0791	2.43554	0.606798	4.2474	0.83665	5.86414	1.09558	7.63829	1.29592	8.58001	0.4222	2.95854	1.07734	2.599	0.842598	5.86877	1.0607	7.38339	1.35872	8.99843
1.074	2.43432	1.07517	2.4346	0.607798	4.21184	0.8384	5.81755	1.09655	7.56889	1.29729	8.50775	0.423531	2.93815	1.07351	2.59881	0.84373	5.81816	1.06198	7.31879	1.35917	8.91618
1.07007	2.43338	1.07124	2.43366	0.608778	4.17686	0.840187	5.77214	1.0975	7.50072	1.29869	8.43706	0.424861	2.91816	1.06968	2.59862	0.844845	5.76844	1.0633	7.25572	1.35961	8.83537
1.06615	2.43244	1.06732	2.43272	0.60974	4.14244	0.84201	5.72787	1.09843	7.43374	1.29993	8.3767	0.426191	2.89855	1.06586	2.59843	0.845945	5.71958	1.06466	7.19413	1.36003	8.75598
1.06223	2.43149	1.06339	2.43178	0.610685	4.10857	0.843868	5.68469	1.09934	7.36793	1.30101	8.32613	0.427522	2.87934	1.06203	2.59824	0.847031	5.67158	1.06605	7.13397	1.36044	8.67797
1.0583	2.43055	1.05947	2.43083	0.611613	4.07524	0.845759	5.64256	1.10023	7.30326	1.30192	8.28491	0.428856	2.86052	1.0582	2.59806	0.848105	5.62441	1.06748	7.07519	1.36083	8.60131
1.05439	2.4296	1.05555	2.42988	0.612527	4.04245	0.847681	5.60145	1.10111	7.2397	1.30264	8.25269	0.430193	2.84208	1.05438	2.59788	0.849168	5.57806	1.06895	7.01774	1.36122	8.52598
1.05047	2.42865	1.05163	2.42893	0.613427	4.01019	0.849634	5.56131	1.10197	7.17724	1.30318	8.22922	0.431537	2.82402	1.05056	2.5977	0.850221	5.53252	1.07044	6.96159	1.36155	8.46139
1.04655	2.4277	1.04772	2.42798	0.614315	3.97845	0.851614	5.5221	1.10281	7.11585	1.30352	8.21428	0.432887	2.80635	1.04674	2.59753	0.851267	5.48779	1.07197	6.90668	1.36183	8.40709
