Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Sym6		Sym7		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6		Asym7	
311  Points		310  Points		303  Points		293  Points		285  Points		218  Points		177  Points		105  Points		310  Points		304  Points		296  Points		257  Points		217  Points		179  Points		105  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.80314	2.53693	1.80245	2.53688	0.722759	4.63942	0.939474	5.968	1.29949	8.36491	1.54462	9.8689	1.75848	10.9306	2.1708	12.7114	0.51975	3.32209	0.714421	4.56743	1.02742	6.61056	1.19268	7.64028	1.53094	9.7703	1.92415	11.3478	2.03887	11.9357
1.79538	2.53634	1.79469	2.53629	0.726778	4.58017	0.943317	5.88429	1.30017	8.21631	1.5485	9.71419	1.75911	10.8398	2.17117	12.5018	0.524833	3.29369	0.7191	4.51387	1.0292	6.50102	1.19718	7.52957	1.53179	9.59855	1.92444	11.2808	2.04191	11.7796
1.78763	2.53575	1.78694	2.5357	0.730728	4.52263	0.947271	5.80423	1.3009	8.07331	1.55239	9.56504	1.75991	10.7274	2.17156	12.2992	0.529831	3.26577	0.723945	4.46325	1.03098	6.39545	1.20173	7.42317	1.53267	9.43313	1.92463	11.2383	2.04453	11.6503
1.77987	2.53516	1.77919	2.5351	0.734613	4.46671	0.951334	5.72762	1.30166	7.93562	1.55629	9.42116	1.76091	10.5947	2.17196	12.1031	0.534748	3.23835	0.72895	4.41537	1.03278	6.29366	1.20634	7.32083	1.5336	9.27371	1.9249	11.1779	2.04672	11.5459
1.77212	2.53456	1.77143	2.53451	0.738433	4.41234	0.955503	5.65425	1.30247	7.80296	1.56019	9.28224	1.76213	10.4436	2.17232	11.9375	0.53959	3.21142	0.734109	4.37005	1.03458	6.19546	1.211	7.22234	1.53456	9.12	1.92519	11.1129	2.04846	11.4649
1.76437	2.53396	1.76369	2.53391	0.742192	4.35945	0.959775	5.58395	1.30333	7.6751	1.56409	9.14803	1.76356	10.276	2.17264	11.7999	0.544361	3.18498	0.739416	4.32714	1.03641	6.1007	1.21571	7.12745	1.53556	8.97172	1.92558	11.0258	2.04975	11.4061
1.75663	2.53336	1.75594	2.5333	0.745893	4.30799	0.964146	5.51655	1.30423	7.55178	1.56799	9.01827	1.76506	10.1142	2.17291	11.6886	0.549066	3.15905	0.744866	4.28647	1.03825	6.00922	1.22046	7.03599	1.53659	8.82859	1.92609	10.9175	2.05058	11.3689
1.74888	2.53275	1.7482	2.5327	0.749537	4.25791	0.968613	5.45188	1.30518	7.43279	1.57189	8.89274	1.76661	9.95806	2.17313	11.6021	0.553711	3.13362	0.750449	4.2479	1.04011	5.92087	1.22525	6.94775	1.53768	8.69037	1.92669	10.7896	2.05177	11.3159
1.74114	2.53215	1.74046	2.5321	0.753128	4.20915	0.973172	5.38979	1.30618	7.31793	1.57578	8.77121	1.76823	9.80725	2.17329	11.5393	0.558301	3.10871	0.756161	4.21128	1.04199	5.83551	1.23008	6.86256	1.5388	8.55684	1.92741	10.6433	2.05308	11.259
1.7334	2.53154	1.73272	2.53149	0.75667	4.16167	0.977818	5.33014	1.30723	7.20701	1.57966	8.65348	1.7699	9.66154	2.1734	11.4995	0.562844	3.08433	0.761992	4.17647	1.0439	5.75303	1.23494	6.78027	1.53996	8.42777	1.92823	10.4805	2.05486	11.1826
1.72567	2.53094	1.72498	2.53088	0.760166	4.11542	0.982547	5.27278	1.30833	7.09985	1.58353	8.53936	1.77164	9.5207	2.17355	11.4428	0.567343	3.06048	0.767936	4.14336	1.04585	5.6733	1.23983	6.70071	1.54118	8.30297	1.92905	10.3227	2.05713	11.0878
1.71793	2.53033	1.71725	2.53028	0.763618	4.07038	0.987355	5.21759	1.30948	6.99627	1.58738	8.42867	1.77344	9.38452	2.17372	11.3818	0.571806	3.03716	0.773984	4.11182	1.04782	5.59621	1.24475	6.62375	1.54243	8.18224	1.92988	10.1697	2.05991	10.9756
1.7102	2.52972	1.70952	2.52967	0.767032	4.02649	0.992236	5.16445	1.31068	6.89612	1.59122	8.32124	1.77531	9.25279	2.17395	11.2999	0.576238	3.01439	0.780129	4.08175	1.04983	5.52165	1.24969	6.54924	1.54374	8.06541	1.93072	10.0214	2.06319	10.8474
1.70247	2.52911	1.70179	2.52906	0.77041	3.98374	0.997187	5.11324	1.31194	6.79926	1.59503	8.21691	1.77725	9.12533	2.17425	11.198	0.580645	2.99217	0.786363	4.05303	1.05188	5.44953	1.25465	6.47706	1.54509	7.95232	1.93156	9.87743	2.067	10.7046
1.69475	2.5285	1.69406	2.52844	0.773757	3.94208	1.0022	5.06385	1.31325	6.70555	1.59883	8.11553	1.77926	9.00197	2.17462	11.0773	0.585032	2.9705	0.792678	4.02556	1.05398	5.37976	1.25963	6.4071	1.5465	7.84279	1.93241	9.73773	2.07085	10.5663
1.68703	2.52789	1.68634	2.52783	0.777075	3.90149	1.00728	5.01618	1.31462	6.61484	1.6026	8.01697	1.78135	8.88252	2.17507	10.9392	0.589404	2.94939	0.799066	3.99926	1.05612	5.31224	1.26463	6.33924	1.54796	7.7367	1.93326	9.60209	2.07474	10.4322
1.67931	2.52728	1.67863	2.52722	0.780368	3.86194	1.01241	4.97013	1.31605	6.52703	1.60634	7.92108	1.78351	8.76684	2.1756	10.7849	0.593767	2.92883	0.805521	3.97404	1.0583	5.24691	1.26963	6.27338	1.54947	7.63388	1.93413	9.47033	2.07867	10.3021
1.6716	2.52667	1.67091	2.52661	0.783641	3.82341	1.01759	4.92561	1.31753	6.442	1.61006	7.82775	1.78574	8.65478	2.17615	10.6352	0.598126	2.90883	0.812034	3.9498	1.06054	5.18367	1.27465	6.20942	1.55103	7.53423	1.935	9.34229	2.08264	10.1759
1.66388	2.52605	1.6632	2.526	0.786896	3.78586	1.02281	4.88254	1.31908	6.35962	1.61374	7.73686	1.78805	8.54618	2.17672	10.4897	0.602485	2.88938	0.818598	3.92649	1.06284	5.12247	1.27967	6.14726	1.55265	7.43761	1.93588	9.21783	2.08665	10.0534
