Sym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
395  Points		394  Points		373  Points		352  Points		225  Points		395  Points		379  Points		286  Points		227  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.16811	2.48004	1.16512	2.48008	0.580092	6.9022	0.870372	9.61829	1.25559	13.6041	0.361242	4.32019	1.19423	2.66603	0.910259	9.91454	1.09749	11.9753
1.16455	2.48009	1.16157	2.48014	0.582803	6.81738	0.870512	9.56535	1.25566	13.3953	0.364528	4.28552	1.19172	2.66902	0.911537	9.81384	1.09817	11.797
1.161	2.48015	1.15802	2.48022	0.585507	6.73529	0.870604	9.5318	1.25573	13.1929	0.367807	4.25191	1.18922	2.67206	0.912591	9.7323	1.09888	11.6243
1.15746	2.48024	1.15449	2.48033	0.588201	6.65577	0.870737	9.48402	1.2558	12.9966	0.371075	4.21929	1.18674	2.67517	0.913424	9.66889	1.09961	11.4571
1.15393	2.48034	1.15097	2.48045	0.590886	6.57871	0.870884	9.43266	1.25587	12.806	0.374334	4.18762	1.18428	2.67833	0.914036	9.62286	1.10036	11.2951
1.15041	2.48047	1.14745	2.48059	0.593561	6.50398	0.871089	9.36378	1.25594	12.621	0.377582	4.15683	1.18183	2.68154	0.914427	9.59365	1.10114	11.1381
1.14689	2.48062	1.14395	2.48076	0.596226	6.43146	0.871356	9.27821	1.25602	12.4413	0.380817	4.12687	1.1794	2.68481	0.914989	9.55202	1.10194	10.9858
1.14339	2.48079	1.14046	2.48095	0.59888	6.36104	0.871689	9.17699	1.25609	12.2667	0.384039	4.09769	1.17698	2.68814	0.915599	9.50722	1.10277	10.8381
1.1399	2.48098	1.13697	2.48116	0.601522	6.29264	0.872097	9.06129	1.25617	12.0969	0.387247	4.06926	1.17457	2.69152	0.916427	9.44705	1.10363	10.6948
1.13642	2.48119	1.1335	2.48139	0.604152	6.22614	0.872587	8.93242	1.25625	11.9318	0.390441	4.04151	1.17218	2.69496	0.917472	9.37216	1.10451	10.5557
1.13294	2.48143	1.13003	2.48165	0.60677	6.16147	0.8731	8.80755	1.25633	11.7712	0.393618	4.01443	1.1698	2.69845	0.918732	9.28335	1.10542	10.4207
1.12948	2.48169	1.12658	2.48193	0.609375	6.09853	0.873639	8.6865	1.25641	11.6149	0.396779	3.98796	1.16744	2.70199	0.920205	9.18155	1.10635	10.2895
1.12603	2.48198	1.12314	2.48224	0.611965	6.03725	0.874202	8.56912	1.2565	11.4627	0.399923	3.96207	1.16509	2.70559	0.921888	9.06775	1.10719	10.1782
1.12259	2.4823	1.11971	2.48258	0.614542	5.97755	0.874792	8.45527	1.25658	11.3145	0.403047	3.93674	1.16275	2.70924	0.923563	8.95706	1.10792	10.0855
1.11916	2.48264	1.11629	2.48294	0.617104	5.91937	0.875407	8.34481	1.25667	11.1702	0.406153	3.91192	1.16043	2.71294	0.925228	8.84933	1.10854	10.0103
1.11574	2.483	1.11288	2.48333	0.619651	5.86263	0.87605	8.23759	1.25677	11.0295	0.409238	3.88759	1.15811	2.7167	0.926884	8.74445	1.10904	9.95182
1.11233	2.4834	1.10948	2.48375	0.622182	5.80727	0.87672	8.1335	1.25686	10.8924	0.412303	3.86373	1.15581	2.72051	0.928529	8.64228	1.1094	9.90928
1.10894	2.48382	1.10609	2.4842	0.624697	5.75324	0.877418	8.03242	1.25696	10.7587	0.415346	3.8403	1.15352	2.72438	0.930163	8.54273	1.10964	9.88229
1.10555	2.48427	1.10272	2.48467	0.627195	5.70047	0.878145	7.93424	1.25706	10.6282	0.418367	3.81728	1.15124	2.7283	0.931786	8.44567	1.10999	9.84378
1.10218	2.48475	1.09936	2.48518	0.629676	5.64891	0.878901	7.83884	1.25717	10.501	0.421364	3.79466	1.14897	2.73227	0.933396	8.35102	1.11036	9.80232
1.09882	2.48526	1.096	2.48571	0.63214	5.59852	0.879686	7.74612	1.25727	10.3926	0.424338	3.7724	1.14672	2.7363	0.934995	8.25867	1.11088	9.74658
1.09547	2.4858	1.09267	2.48628	0.634585	5.54924	0.880502	7.656	1.25735	10.302	0.427287	3.7505	1.14447	2.74038	0.93658	8.16853	1.11155	9.67715
1.09213	2.48637	1.08934	2.48687	0.637012	5.50103	0.881348	7.56837	1.25742	10.2282	0.430211	3.72892	1.14224	2.74451	0.938152	8.08052	1.11237	9.59474
1.08881	2.48697	1.08602	2.4875	0.63942	5.45385	0.882225	7.48315	1.25748	10.1707	0.43311	3.70766	1.14001	2.7487	0.939711	7.99456	1.11336	9.50017
1.0855	2.48761	1.08272	2.48817	0.641809	5.40765	0.883133	7.40026	1.25752	10.1288	0.435983	3.6867	1.1378	2.75294	0.941256	7.91056	1.11451	9.39434
1.0822	2.48827	1.07943	2.48886	0.644178	5.36239	0.884074	7.31961	1.25755	10.1022	0.438828	3.66602	1.1356	2.75724	0.942786	7.82846	1.1157	9.29131
1.07891	2.48897	1.07615	2.48959	0.646527	5.31805	0.885046	7.24113	1.25759	10.0642	0.441647	3.64561	1.1334	2.76159	0.944302	7.74819	1.11692	9.19097
1.07563	2.48971	1.07289	2.49035	0.648856	5.27458	0.886052	7.16474	1.25763	10.0232	0.444438	3.62545	1.13122	2.766	0.945804	7.66967	1.11817	9.09323
1.07237	2.49048	1.06964	2.49115	0.651163	5.23195	0.88709	7.09038	1.25769	9.96797	0.447202	3.60555	1.12905	2.77046	0.94729	7.59286	1.11944	8.998
1.06912	2.49128	1.0664	2.49198	0.65345	5.19013	0.888162	7.01799	1.25777	9.89903	0.449937	3.58587	1.12688	2.77498	0.948761	7.51768	1.12075	8.9052
1.06588	2.49212	1.06317	2.49285	0.655715	5.1491	0.889267	6.94748	1.25787	9.81695	0.452644	3.56642	1.12473	2.77956	0.950218	7.44408	1.12209	8.81474
1.06266	2.49299	1.05996	2.49375	0.657959	5.10881	0.890407	6.87882	1.25798	9.72242	0.455323	3.54718	1.12258	2.78419	0.951659	7.37201	1.12346	8.72655
1.05944	2.4939	1.05675	2.49469	0.660181	5.06925	0.89158	6.81192	1.25812	9.61623	0.457973	3.52815	1.12045	2.78887	0.953085	7.30142	1.12486	8.64054
1.05625	2.49484	1.05357	2.49567	0.662381	5.03039	0.892788	6.74675	1.25827	9.51239	0.460594	3.50932	1.11832	2.79362	0.954495	7.23225	1.12629	8.55665
1.05306	2.49583	1.05039	2.49668	0.664559	4.99221	0.89403	6.68324	1.25842	9.41083	0.463186	3.49069	1.1162	2.79842	0.95589	7.16447	1.12775	8.47481
1.04988	2.49684	1.04723	2.49773	0.666715	4.95468	0.895307	6.62134	1.25857	9.31148	0.46575	3.47224	1.11409	2.80327	0.95727	7.09802	1.12924	8.39494
1.04672	2.4979	1.04408	2.49882	0.668848	4.91778	0.896619	6.56101	1.25873	9.21428	0.468285	3.45397	1.11199	2.80819	0.958635	7.03288	1.13076	8.31699
1.04357	2.49899	1.04094	2.49994	0.670958	4.88149	0.897966	6.50219	1.2589	9.11914	0.470792	3.43589	1.1099	2.81316	0.959986	6.96899	1.13231	8.2409
1.04044	2.50012	1.03781	2.5011	0.673046	4.8458	0.899348	6.44483	1.25907	9.02603	0.473271	3.41797	1.10782	2.81819	0.961321	6.90632	1.13388	8.1666
1.03731	2.50129	1.0347	2.50231	0.675111	4.81067	0.900764	6.3889	1.25925	8.93486	0.475722	3.40023	1.10575	2.82328	0.962642	6.84483	1.13549	8.09404
1.0342	2.5025	1.0316	2.50355	0.677154	4.77611	0.902216	6.33435	1.25944	8.84558	0.478146	3.38266	1.10368	2.82843	0.963949	6.78449	1.13713	8.02316
1.0311	2.50375	1.02851	2.50482	0.679174	4.74208	0.903702	6.28114	1.25963	8.75815	0.480543	3.36525	1.10162	2.83364	0.965242	6.72527	1.13879	7.95391
1.02802	2.50503	1.02543	2.50614	0.681172	4.70857	0.905223	6.22922	1.25983	8.6725	0.482913	3.34801	1.09957	2.83891	0.966521	6.66713	1.14049	7.88624
1.02494	2.50635	1.02237	2.50749	0.683147	4.67558	0.906779	6.17855	1.26004	8.58858	0.485257	3.33093	1.09753	2.84423	0.967787	6.61005	1.14221	7.82009
1.02188	2.50771	1.01931	2.50889	0.6851	4.64308	0.908369	6.12911	1.26025	8.50635	0.487576	3.31401	1.0955	2.84962	0.96904	6.554	1.14396	7.75543
1.01883	2.50911	1.01627	2.51032	0.68703	4.61106	0.909994	6.08085	1.26047	8.42575	0.489871	3.29726	1.09347	2.85507	0.970281	6.49895	1.14574	7.69221
1.01579	2.51055	1.01324	2.51179	0.688939	4.5795	0.911652	6.03374	1.2607	8.34675	0.492141	3.28067	1.09145	2.86057	0.971509	6.44487	1.14754	7.63037
1.01276	2.51203	1.01022	2.5133	0.690827	4.54841	0.913345	5.98774	1.26094	8.26929	0.494388	3.26424	1.08944	2.86614	0.972726	6.39174	1.14937	7.56989
1.00974	2.51354	1.00721	2.51485	0.692692	4.51776	0.91507	5.94282	1.26118	8.19334	0.496613	3.24797	1.08743	2.87177	0.973932	6.33954	1.15123	7.51071
1.00674	2.5151	1.00422	2.51643	0.694537	4.48755	0.916829	5.89894	1.26143	8.11886	0.498816	3.23187	1.08543	2.87747	0.975127	6.28824	1.15311	7.4528
1.00374	2.51669	1.00123	2.51806	0.696361	4.45776	0.918621	5.85609	1.26169	8.0458	0.500998	3.21594	1.08344	2.88322	0.976313	6.23782	1.15501	7.39612
1.00076	2.51832	0.998254	2.51972	0.698164	4.42839	0.920444	5.81421	1.26197	7.97412	0.50316	3.20016	1.08146	2.88904	0.977488	6.18827	1.15694	7.34064
0.997781	2.51998	0.995288	2.52141	0.699947	4.39942	0.9223	5.7733	1.26224	7.9038	0.505303	3.18456	1.07948	2.89491	0.978655	6.13955	1.1589	7.2863
0.994816	2.52169	0.992331	2.52315	0.701711	4.37085	0.924187	5.73331	1.26253	7.8348	0.507428	3.16912	1.07751	2.90086	0.979814	6.09166	1.16087	7.2331
0.991861	2.52343	0.989384	2.52492	0.703455	4.34267	0.926105	5.69422	1.26283	7.76708	0.509536	3.15386	1.07554	2.90686	0.980964	6.04457	1.16287	7.18097
0.988915	2.52521	0.986445	2.52673	0.705181	4.31488	0.928054	5.65601	1.26314	7.70061	0.511627	3.13876	1.07358	2.91293	0.982108	5.99827	1.1649	7.12991
0.985978	2.52702	0.983516	2.52857	0.706888	4.28745	0.930032	5.61864	1.26346	7.63536	0.513703	3.12384	1.07163	2.91906	0.983245	5.95274	1.16694	7.07987
0.983049	2.52887	0.980594	2.53045	0.708577	4.2604	0.932039	5.58209	1.26378	7.5713	0.515765	3.10909	1.06968	2.92525	0.984377	5.90796	1.169	7.03082
0.980129	2.53076	0.97768	2.53237	0.710248	4.23371	0.934076	5.54634	1.26412	7.50839	0.517813	3.09451	1.06774	2.93151	0.985503	5.86392	1.17109	6.98274
0.977216	2.53267	0.974774	2.53431	0.711903	4.20738	0.93614	5.51136	1.26447	7.44662	0.519849	3.08011	1.0658	2.93783	0.986625	5.82061	1.17319	6.9356
0.974311	2.53463	0.971874	2.53629	0.713542	4.18139	0.938231	5.47713	1.26483	7.38596	0.521874	3.06588	1.06387	2.94422	0.987743	5.778	1.17531	6.88936
0.971412	2.53661	0.968981	2.5383	0.715164	4.15575	0.94035	5.44363	1.2652	7.32637	0.523888	3.05184	1.06194	2.95067	0.988857	5.73609	1.17746	6.84401
