Sym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
395  Points		394  Points		374  Points		355  Points		227  Points		396  Points		379  Points		289  Points		231  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.13419	2.43765	1.13173	2.43289	0.600325	1.81516	0.870442	0.319345	1.24808	0.123575	0.390849	2.18233	1.16476	1.67267	0.908673	1.22098	1.10212	0.581533
1.13068	2.43084	1.12822	2.42598	0.602938	1.80603	0.870915	0.336548	1.24826	0.122453	0.393991	2.17013	1.16235	1.66189	0.909754	1.21775	1.10297	0.600254
1.12717	2.42387	1.12472	2.41891	0.605538	1.79652	0.871413	0.354195	1.24843	0.121529	0.397114	2.15729	1.15996	1.65146	0.911057	1.2136	1.10385	0.61924
1.12368	2.41675	1.12124	2.41172	0.608124	1.7866	0.871937	0.372247	1.24861	0.12078	0.400218	2.14388	1.15758	1.6413	0.912581	1.20841	1.10476	0.638461
1.1202	2.40954	1.11776	2.40437	0.610696	1.77634	0.872488	0.390722	1.24878	0.120159	0.403303	2.12985	1.15522	1.63144	0.914321	1.20204	1.10557	0.65547
1.11672	2.40215	1.1143	2.39692	0.613252	1.76574	0.873065	0.409627	1.24895	0.119724	0.406367	2.11525	1.15287	1.62182	0.916051	1.19522	1.10629	0.670102
1.11326	2.39463	1.11084	2.38934	0.615793	1.75474	0.87367	0.428894	1.24913	0.119513	0.409409	2.10008	1.15054	1.61241	0.917771	1.18804	1.10688	0.68231
1.10981	2.38705	1.1074	2.38158	0.618318	1.74337	0.874303	0.448561	1.2493	0.119456	0.412429	2.0844	1.14822	1.60326	0.91948	1.18039	1.10737	0.691938
1.10637	2.37929	1.10397	2.37376	0.620826	1.73172	0.874965	0.468686	1.24947	0.119563	0.415426	2.06821	1.14591	1.59426	0.921178	1.17235	1.10772	0.699262
1.10294	2.37138	1.10055	2.3658	0.623317	1.71967	0.875656	0.489148	1.24964	0.11985	0.418399	2.05148	1.14362	1.58549	0.922865	1.16397	1.10796	0.703895
1.09952	2.36341	1.09714	2.35772	0.62579	1.70727	0.876377	0.51	1.24982	0.12035	0.421348	2.03432	1.14133	1.57695	0.924538	1.15521	1.10829	0.710437
1.09612	2.35529	1.09374	2.34954	0.628245	1.69459	0.877129	0.531192	1.24999	0.120984	0.424272	2.0167	1.13906	1.56851	0.926199	1.14614	1.10866	0.71775
1.09273	2.34706	1.09035	2.34124	0.630682	1.68159	0.877911	0.552701	1.25014	0.121698	0.42717	1.99865	1.13681	1.56021	0.927847	1.13673	1.10917	0.727613
1.08934	2.33871	1.08698	2.33284	0.6331	1.66827	0.878724	0.574625	1.25027	0.122412	0.430042	1.98022	1.13456	1.55211	0.929481	1.12705	1.10982	0.740193
1.08597	2.33028	1.08362	2.32432	0.635498	1.65462	0.87957	0.59683	1.25038	0.123006	0.432886	1.96141	1.13232	1.54417	0.931101	1.11712	1.11062	0.755553
1.08262	2.32179	1.08027	2.3157	0.637876	1.64073	0.880447	0.619322	1.25047	0.123627	0.435704	1.9423	1.1301	1.53635	0.932706	1.10691	1.11158	0.77367
1.07927	2.31314	1.07694	2.30704	0.640234	1.6266	0.881357	0.642176	1.25053	0.12408	0.438493	1.9229	1.12789	1.52863	0.934296	1.09646	1.11271	0.794545
1.07594	2.30443	1.07361	2.29829	0.642572	1.61214	0.882301	0.665249	1.25057	0.124414	0.441255	1.90323	1.12569	1.52102	0.935871	1.08586	1.11387	0.815567
1.07262	2.29563	1.0703	2.28942	0.644888	1.59748	0.883278	0.688577	1.25063	0.124918	0.443987	1.88337	1.1235	1.51357	0.937431	1.0751	1.11507	0.836734
1.06931	2.28677	1.067	2.28054	0.647183	1.5826	0.884289	0.71218	1.2507	0.125397	0.446691	1.86333	1.12132	1.50629	0.938974	1.06415	1.11629	0.857938
1.06602	2.27782	1.06372	2.27157	0.649457	1.56751	0.885334	0.735993	1.25079	0.126123	0.449366	1.84312	1.11915	1.49905	0.940502	1.05307	1.11754	0.879233
1.06274	2.26887	1.06045	2.2625	0.651708	1.55224	0.886413	0.759985	1.2509	0.127095	0.452012	1.82284	1.11699	1.49189	0.942014	1.04193	1.11883	0.900611
1.05947	2.25982	1.05719	2.25345	0.653938	1.53677	0.887528	0.784175	1.25103	0.128408	0.454629	1.80252	1.11484	1.4849	0.94351	1.03076	1.12014	0.921957
1.05621	2.25073	1.05394	2.24434	0.656145	1.52119	0.888677	0.808539	1.2512	0.130064	0.457216	1.78218	1.11271	1.47802	0.94499	1.0195	1.12149	0.943323
1.05297	2.24164	1.05071	2.23521	0.658329	1.50542	0.889862	0.832988	1.25139	0.132112	0.459773	1.7619	1.11058	1.47122	0.946453	1.00822	1.12287	0.964663
1.04974	2.23247	1.04749	2.22604	0.66049	1.48955	0.891082	0.857591	1.25158	0.134344	0.462302	1.74169	1.10846	1.46449	0.9479	0.996986	1.12427	0.985953
1.04653	2.22327	1.04428	2.21685	0.662629	1.47364	0.892337	0.88227	1.25177	0.136778	0.464801	1.72163	1.10635	1.45786	0.949331	0.985764	1.12571	1.00718
1.04332	2.21411	1.04109	2.20769	0.664744	1.45758	0.893629	0.907025	1.25197	0.139351	0.467272	1.70174	1.10425	1.45134	0.950746	0.974623	1.12718	1.02831
1.04014	2.20495	1.03791	2.19853	0.666837	1.44154	0.894956	0.931816	1.25218	0.142138	0.469714	1.68206	1.10216	1.44496	0.952145	0.963596	1.12868	1.0493
1.03696	2.19577	1.03474	2.18938	0.668906	1.42546	0.896318	0.956553	1.25238	0.145143	0.472127	1.66266	1.10008	1.43864	0.953528	0.952663	1.13021	1.07017
1.0338	2.18665	1.03159	2.18021	0.670952	1.40936	0.897717	0.981337	1.2526	0.148257	0.474513	1.64355	1.09801	1.43237	0.954895	0.941886	1.13177	1.09089
1.03065	2.1775	1.02845	2.17112	0.672974	1.39329	0.899151	1.00611	1.25281	0.151572	0.476872	1.6248	1.09594	1.42628	0.956247	0.931297	1.13336	1.1114
1.02751	2.16841	1.02532	2.16208	0.674974	1.37724	0.900621	1.03076	1.25303	0.155134	0.479204	1.60646	1.09389	1.42025	0.957583	0.920839	1.13498	1.13168
1.02439	2.1594	1.02221	2.15309	0.67695	1.3613	0.902127	1.05532	1.25326	0.158819	0.481509	1.58853	1.09184	1.41427	0.958905	0.910667	1.13663	1.15175
1.02128	2.15037	1.01911	2.14413	0.678903	1.34542	0.903668	1.07979	1.25349	0.162676	0.483789	1.57103	1.08981	1.40846	0.960212	0.900746	1.1383	1.1716
1.01818	2.14148	1.01602	2.13527	0.680834	1.32965	0.905244	1.10411	1.25373	0.166728	0.486044	1.55408	1.08778	1.40271	0.961505	0.891025	1.14001	1.19119
1.0151	2.13264	1.01294	2.1265	0.682742	1.31403	0.906855	1.12825	1.25397	0.170951	0.488276	1.53766	1.08576	1.39706	0.962784	0.881624	1.14174	1.21047
1.01202	2.12389	1.00988	2.11782	0.684627	1.29853	0.908501	1.15218	1.25422	0.175407	0.490483	1.52172	1.08375	1.39156	0.96405	0.872529	1.1435	1.22945
1.00896	2.11524	1.00683	2.10924	0.68649	1.28328	0.910181	1.1759	1.25448	0.180052	0.492668	1.50643	1.08174	1.38611	0.965303	0.863769	1.14529	1.24813
1.00592	2.10667	1.00379	2.10074	0.688332	1.26818	0.911895	1.19941	1.25474	0.184828	0.494832	1.49175	1.07974	1.38078	0.966544	0.855362	1.14711	1.26648
