Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
345  Points		344  Points		206  Points		142  Points		293  Points		293  Points		145  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.439206	2.96151	0.365954	4.8735	0.812823	6.63396	0.990698	6.21842	0.660008	2.96482	0.659554	2.97007	0.975621	5.25813
0.441164	2.98477	0.369164	4.87066	0.817165	6.54754	0.991635	6.23209	0.661954	2.9428	0.661503	2.94781	0.97686	5.26964
0.443138	3.00785	0.372372	4.86784	0.82145	6.45942	0.992987	6.2519	0.663885	2.92205	0.663438	2.92678	0.978548	5.28505
0.445128	3.03068	0.375578	4.86503	0.825676	6.36979	0.99446	6.27344	0.665804	2.90262	0.66536	2.907	0.980691	5.30358
0.447132	3.05339	0.378782	4.86223	0.829843	6.27873	0.996472	6.30318	0.66771	2.88425	0.667269	2.88841	0.983292	5.32502
0.449151	3.07587	0.381985	4.85937	0.833949	6.18643	0.999031	6.34087	0.669604	2.86709	0.669166	2.87098	0.986356	5.34874
0.451185	3.0981	0.385185	4.85655	0.837994	6.0931	1.00215	6.3637	0.671488	2.8511	0.671051	2.85471	0.989889	5.37399
0.453233	3.12019	0.388384	4.85369	0.841978	5.99894			0.673361	2.83622	0.672927	2.83958	0.993437	5.39717
0.455296	3.14201	0.39158	4.85081	0.845899	5.90422			0.675225	2.82252	0.674793	2.82559	0.997	5.41835
0.457373	3.16353	0.394775	4.84802	0.849757	5.80905			0.67708	2.80986	0.67665	2.8127	1.00058	5.42844
0.459464	3.18486	0.397968	4.84518	0.853553	5.71367			0.678927	2.7982	0.678499	2.80081		
0.461569	3.20599	0.401159	4.8423	0.857286	5.61833			0.680767	2.78761	0.68034	2.79		
0.463688	3.22685	0.404348	4.83942	0.860956	5.52317			0.6826	2.77806	0.682175	2.78019		
0.465821	3.24749	0.407536	4.83658	0.864563	5.42846			0.684427	2.76946	0.684004	2.77135		
0.467967	3.26786	0.410721	4.83376	0.868108	5.33429			0.686249	2.76184	0.685827	2.76351		
0.470127	3.28793	0.413905	4.8309	0.871592	5.2409			0.688066	2.75508	0.687645	2.75659		
0.4723	3.30776	0.417086	4.82807	0.875014	5.14853			0.689879	2.74921	0.689459	2.75054		
0.474485	3.32736	0.420266	4.82521	0.878375	5.05723			0.691689	2.74426	0.691269	2.74534		
0.476684	3.34674	0.423444	4.82232	0.881677	4.96725			0.693495	2.74018	0.693076	2.74103		
0.478895	3.3658	0.42662	4.81954	0.88492	4.87871			0.695299	2.73684	0.694881	2.73753		
0.481119	3.3846	0.429794	4.81669	0.888106	4.79171			0.697101	2.73429	0.696683	2.73484		
0.483355	3.40317	0.432967	4.81382	0.891234	4.70636			0.698902	2.73255	0.698484	2.73293		
0.485603	3.42147	0.436137	4.81104	0.894307	4.62277			0.700702	2.73153	0.700284	2.73167		
0.487863	3.43952	0.439306	4.80825	0.897325	4.5411			0.702501	2.73117	0.702083	2.73119		
0.490135	3.45735	0.442473	4.8054	0.90029	4.46132			0.7043	2.73151	0.703883	2.73142		
0.492418	3.47487	0.445638	4.80258	0.903203	4.38357			0.7061	2.73256	0.705682	2.73225		
