Sym0		Asym0		Sym1		Asym1		Asym2	
340  Points		338  Points		219  Points		291  Points		291  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.55306	4.3683	0.556488	5.30774	0.952584	3.08871	0.738662	3.13189	0.738449	3.12943
0.555748	4.38377	0.559747	5.29959	0.954468	3.0461	0.740593	3.15435	0.740378	3.15185
0.558446	4.39889	0.563	5.29141	0.956327	3.00569	0.742538	3.17702	0.742322	3.17451
0.561153	4.41372	0.566248	5.28321	0.958161	2.96748	0.744497	3.19985	0.744279	3.19738
0.563869	4.42836	0.569491	5.275	0.959973	2.93133	0.746469	3.22299	0.74625	3.22043
0.566594	4.44268	0.572729	5.26672	0.961763	2.89715	0.748457	3.24622	0.748236	3.24362
0.569327	4.45672	0.575962	5.25842	0.963533	2.86495	0.750458	3.26961	0.750235	3.26704
0.57207	4.47057	0.57919	5.25005	0.965283	2.83469	0.752474	3.29324	0.75225	3.29064
0.57482	4.48411	0.582413	5.2417	0.967016	2.80623	0.754504	3.317	0.754279	3.31432
0.577579	4.49743	0.585631	5.23331	0.968731	2.77951	0.756549	3.34088	0.756322	3.33821
0.580346	4.51048	0.588843	5.22489	0.970431	2.75454	0.758609	3.36487	0.75838	3.36221
0.583121	4.52322	0.59205	5.21651	0.972116	2.73117	0.760684	3.38897	0.760453	3.38626
0.585904	4.53582	0.595252	5.2081	0.973787	2.70937	0.762773	3.41313	0.762541	3.41045
0.588694	4.54811	0.598449	5.19968	0.975445	2.68915	0.764877	3.43743	0.764644	3.43477
0.591492	4.56014	0.601641	5.19119	0.977091	2.67037	0.766997	3.46185	0.766761	3.45914
0.594297	4.57205	0.604828	5.18272	0.978726	2.65298	0.769131	3.48634	0.768894	3.4836
0.59711	4.58361	0.608009	5.17427	0.98035	2.63696	0.77128	3.5108	0.771041	3.50811
0.599929	4.59495	0.611185	5.16582	0.981966	2.62228	0.773445	3.53536	0.773204	3.53258
0.602755	4.60611	0.614356	5.15743	0.983572	2.60883	0.775624	3.55997	0.775382	3.5572
0.605589	4.61703	0.617522	5.14896	0.985171	2.59661	0.777819	3.58455	0.777575	3.58184
0.608428	4.6277	0.620683	5.14056	0.986763	2.5855	0.780028	3.60916	0.779783	3.60643
0.611275	4.63815	0.623838	5.13219	0.988348	2.57556	0.782253	3.6338	0.782006	3.63111
0.614127	4.64843	0.626989	5.12373	0.989927	2.56676	0.784493	3.65851	0.784244	3.65573
0.616986	4.65851	0.630134	5.1154	0.991502	2.55897	0.786748	3.68313	0.786498	3.68037
0.619851	4.66833	0.633274	5.10712	0.993071	2.55213	0.789019	3.70767	0.788766	3.70501
0.622722	4.67796	0.636409	5.09881	0.994637	2.54621	0.791304	3.73226	0.79105	3.72956
0.625599	4.68738	0.639539	5.09055	0.9962	2.54131	0.793604	3.75683	0.793349	3.7541
0.628481	4.69654	0.642663	5.08231	0.99776	2.53724	0.79592	3.78134	0.795663	3.77865
0.631369	4.70561	0.645783	5.07413	0.999317	2.53399	0.79825	3.80581	0.797991	3.80309
0.634263	4.71443	0.648898	5.06605	1.00087	2.53261	0.800596	3.83015	0.800335	3.82741
0.637162	4.72306	0.652008	5.05795			0.802956	3.85443	0.802694	3.85174
0.640066	4.73154	0.655113	5.04996			0.805332	3.87868	0.805068	3.87601
0.642975	4.73978	0.658213	5.04202			0.807722	3.9028	0.807456	3.90014
0.64589	4.74784	0.661308	5.03405			0.810127	3.9268	0.80986	3.92415
0.648809	4.7557	0.664398	5.02623			0.812547	3.95079	0.812278	3.94814
0.651733	4.76347	0.667483	5.01849			0.814981	3.97462	0.814711	3.97197
0.654662	4.77096	0.670564	5.01079			0.81743	3.99831	0.817158	3.99566
0.657595	4.77831	0.67364	5.00316			0.819894	4.02193	0.81962	4.01934
0.660533	4.78555	0.676711	4.99568			0.822372	4.04534	0.822097	4.04278
0.663475	4.79255	0.679778	4.98822			0.824865	4.06866	0.824588	4.06611
0.666421	4.79938	0.68284	4.98083			0.827371	4.09187	0.827093	4.08927
0.669372	4.80602	0.685898	4.97363			0.829892	4.11486	0.829612	4.1123
0.672326	4.81256	0.688951	4.96642			0.832427	4.13774	0.832145	4.13525
0.675285	4.819	0.692	4.95932			0.834976	4.16046	0.834693	4.15794
0.678247	4.82516	0.695045	4.95238			0.837539	4.18298	0.837254	4.18051
0.681213	4.83119	0.698085	4.94546			0.840116	4.20535	0.839829	4.2029
0.684183	4.83714	0.701121	4.93868			0.842706	4.22753	0.842418	4.22509
0.687157	4.8429	0.704153	4.93206			0.84531	4.24956	0.845021	4.24713
0.690134	4.84844	0.707181	4.92553			0.847927	4.2714	0.847637	4.26892
0.693114	4.85388	0.710205	4.9191			0.850558	4.29299	0.850266	4.29059
0.696098	4.85926	0.713225	4.91272			0.853202	4.31439	0.852908	4.31204
0.699084	4.8644	0.716241	4.90653			0.855859	4.33564	0.855564	4.33331
0.702074	4.86941	0.719254	4.90049			0.858529	4.35666	0.858233	4.35439
0.705067	4.8743	0.722262	4.89447			0.861212	4.37749	0.860914	4.3752
0.708063	4.87908	0.725267	4.88863			0.863908	4.39813	0.863608	4.39583
0.711062	4.88369	0.728269	4.88293			0.866616	4.4185	0.866315	4.41619
0.714064	4.88817	0.731267	4.87736			0.869337	4.43863	0.869035	4.43637
0.717068	4.89257	0.734262	4.87191			0.87207	4.45858	0.871766	4.4564
0.720075	4.89682	0.737253	4.86658			0.874815	4.47833	0.87451	4.47619
0.723085	4.90089	0.740241	4.86135			0.877572	4.49781	0.877266	4.4957
0.726097	4.90487	0.743226	4.85624			0.880341	4.5171	0.880034	4.51495
0.729111	4.90875	0.746208	4.85136			0.883122	4.53619	0.882813	4.53401
0.732128	4.91252	0.749187	4.84658			0.885915	4.55496	0.885605	4.55293
0.735147	4.91613	0.752163	4.84186			0.888719	4.5735	0.888408	4.5715
0.738169	4.9196	0.755136	4.83733			0.891534	4.59188	0.891222	4.58984
0.741192	4.92306	0.758106	4.8329			0.894361	4.61001	0.894047	4.608
0.744218	4.9264	0.761074	4.82863			0.897198	4.62791	0.896883	4.62592
0.747245	4.92957	0.764039	4.8245			0.900047	4.64552	0.899731	4.64359
0.750274	4.9326	0.767002	4.82049			0.902906	4.66288	0.902589	4.66098
0.753306	4.93555	0.769962	4.81659			0.905776	4.68006	0.905458	4.67818
0.756339	4.93842	0.77292	4.81287			0.908657	4.69703	0.908337	4.69516
0.759373	4.94119	0.775875	4.80929			0.911547	4.71369	0.911227	4.71187
0.76241	4.94385	0.778829	4.80577			0.914448	4.73012	0.914126	4.72828
0.765448	4.9464	0.78178	4.80241			0.917359	4.74634	0.917036	4.74454
0.768487	4.94884	0.78473	4.79922			0.92028	4.76227	0.919956	4.76055
0.771528	4.95123	0.787677	4.79613			0.923211	4.77802	0.922885	4.77628
0.774571	4.95348	0.790622	4.79314			0.926151	4.79356	0.925824	4.79186
0.777615	4.95566	0.793566	4.79031			0.9291	4.80882	0.928773	4.80715
0.78066	4.95775	0.796508	4.78757			0.932059	4.82384	0.931731	4.82218
0.783706	4.95974	0.799449	4.78503			0.935027	4.83863	0.934698	4.83697
0.786754	4.96168	0.802387	4.78259			0.938004	4.85318	0.937674	4.85153
0.789802	4.96348	0.805325	4.78021			0.94099	4.86752	0.940659	4.86592
0.792852	4.96521	0.808261	4.77796			0.943985	4.88162	0.943653	4.88012
0.795903	4.96686	0.811195	4.77584			0.946988	4.89551	0.946655	4.89399
