Sym0		Asym0		Sym1		Asym1		Asym2		Asym3	
342  Points		342  Points		210  Points		292  Points		292  Points		144  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.449782	5.08657	0.388789	4.39249	0.831279	9.43398	0.667903	7.576	0.667492	7.58399	0.998749	11.2485
0.451855	5.07313	0.392081	4.39773	0.835369	9.41173	0.669695	7.54134	0.669286	7.54923	1.0004	11.2276
0.453943	5.06005	0.39537	4.40288	0.839398	9.38911	0.671481	7.5071	0.671073	7.51489		
0.456047	5.04733	0.398657	4.40792	0.843366	9.36614	0.67326	7.47327	0.672854	7.48097		
0.458166	5.03495	0.401942	4.41287	0.847272	9.34281	0.675034	7.43986	0.674629	7.44746		
0.460301	5.02292	0.405224	4.41772	0.851114	9.31911	0.676802	7.40686	0.676398	7.41437		
0.46245	5.01122	0.408505	4.42249	0.854894	9.29506	0.678565	7.37428	0.678163	7.38169		
0.464615	4.99984	0.411782	4.42716	0.858609	9.27065	0.680325	7.34211	0.679923	7.34942		
0.466794	4.98877	0.415057	4.43174	0.862261	9.24589	0.682082	7.31034	0.681681	7.31757		
0.468987	4.97801	0.41833	4.43623	0.865848	9.22079	0.683836	7.27898	0.683435	7.28611		
0.471195	4.96755	0.421601	4.44063	0.869372	9.19536	0.685588	7.24803	0.685187	7.25507		
0.473417	4.95737	0.424869	4.44496	0.872832	9.1696	0.687338	7.21747	0.686938	7.22442		
0.475653	4.94748	0.428135	4.44919	0.876228	9.14352	0.689087	7.18732	0.688688	7.19418		
0.477903	4.93786	0.431398	4.45335	0.879562	9.11714	0.690836	7.15756	0.690437	7.16433		
0.480167	4.92851	0.434659	4.45743	0.882833	9.09047	0.692586	7.1282	0.692186	7.13488		
0.482443	4.91941	0.437917	4.46143	0.886043	9.06351	0.694335	7.09924	0.693935	7.10582		
0.484734	4.91057	0.441173	4.46535	0.889192	9.0363	0.696086	7.07066	0.695686	7.07716		
0.487037	4.90197	0.444426	4.4692	0.892282	9.00884	0.697839	7.04247	0.697438	7.04888		
0.489353	4.89362	0.447677	4.47297	0.895313	8.98114	0.699593	7.01466	0.699192	7.02098		
0.491682	4.8855	0.450926	4.47667	0.898286	8.95323	0.70135	6.98723	0.700948	6.99347		
0.494023	4.8776	0.454172	4.4803	0.901204	8.92511	0.703109	6.96018	0.702707	6.96633		
0.496376	4.86992	0.457415	4.48385	0.904066	8.89681	0.704872	6.9335	0.704469	6.93957		
0.498742	4.86246	0.460656	4.48734	0.906875	8.86834	0.706639	6.9072	0.706235	6.91318		
0.50112	4.85521	0.463894	4.49076	0.909632	8.83973	0.70841	6.88126	0.708004	6.88716		
0.503509	4.84816	0.46713	4.49412	0.912338	8.81098	0.710185	6.85569	0.709778	6.8615		
0.50591	4.84131	0.470364	4.49741	0.914995	8.78211	0.711964	6.83047	0.711557	6.83621		
0.508322	4.83465	0.473595	4.50063	0.917605	8.75314	0.713749	6.80562	0.713341	6.81127		
0.510746	4.82817	0.476823	4.50379	0.920168	8.72408	0.71554	6.78112	0.71513	6.78669		
0.513181	4.82188	0.480049	4.50689	0.922686	8.69496	0.717336	6.75697	0.716924	6.76246		
0.515626	4.81577	0.483272	4.50993	0.925162	8.66578	0.719137	6.73317	0.718725	6.73858		
0.518083	4.80983	0.486492	4.51291	0.927596	8.63657	0.720946	6.70971	0.720532	6.71504		
0.52055	4.80406	0.489711	4.51583	0.92999	8.60733	0.72276	6.68658	0.722345	6.69184		
0.523027	4.79845	0.492926	4.51869	0.932345	8.57809	0.724582	6.6638	0.724165	6.66898		
0.525514	4.793	0.496139	4.5215	0.934663	8.54885	0.726411	6.64135	0.725992	6.64645		
0.528012	4.7877	0.49935	4.52424	0.936946	8.51963	0.728246	6.61922	0.727826	6.62425		
0.530519	4.78255	0.502558	4.52694	0.939195	8.49044	0.73009	6.59743	0.729668	6.60238		
0.533036	4.77755	0.505763	4.52958	0.94141	8.46129	0.731941	6.57595	0.731517	6.58083		
0.535562	4.7727	0.508966	4.53217	0.943595	8.4322	0.7338	6.55479	0.733374	6.5596		
0.538098	4.76798	0.512166	4.5347	0.94575	8.40318	0.735667	6.53394	0.73524	6.53868		
0.540644	4.76339	0.515364	4.53719	0.947876	8.37423	0.737542	6.5134	0.737113	6.51807		
0.543198	4.75894	0.518559	4.53962	0.949975	8.34537	0.739426	6.49317	0.738995	6.49777		
0.545761	4.75461	0.521751	4.542	0.952047	8.3166	0.741319	6.47325	0.740885	6.47778		
0.548333	4.75041	0.524941	4.54434	0.954095	8.28794	0.74322	6.45362	0.742785	6.45808		
0.550913	4.74633	0.528129	4.54663	0.956119	8.2594	0.74513	6.43428	0.744693	6.43868		
0.553502	4.74237	0.531314	4.54887	0.958121	8.23098	0.74705	6.41524	0.74661	6.41957		
0.556099	4.73852	0.534496	4.55106	0.960101	8.20268	0.748978	6.39649	0.748537	6.40075		
0.558705	4.73478	0.537676	4.55321	0.962061	8.17453	0.750916	6.37801	0.750472	6.38221		
0.561318	4.73115	0.540853	4.55532	0.964002	8.14651	0.752863	6.35982	0.752417	6.36396		
0.563939	4.72762	0.544028	4.55738	0.965924	8.11865	0.75482	6.34191	0.754372	6.34598		
0.566568	4.7242	0.5472	4.55939	0.96783	8.09094	0.756786	6.32427	0.756336	6.32828		
