Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
386  Points		381  Points		386  Points		374  Points		366  Points		342  Points		132  Points		381  Points		379  Points		366  Points		173  Points		126  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.85586	2.54762	0.623149	4.21075	1.85686	2.54736	0.910083	6.69101	1.2733	9.33874	1.68572	11.375	2.01188	13.4571	0.61621	4.5331	1.87278	2.62589	1.27925	9.38272	1.6466	11.1114	2.09298	14.0307
1.8509	2.5489	0.624214	4.15319	1.85191	2.54864	0.911811	6.59189	1.27638	9.20552	1.68728	11.2554	2.01386	13.2656	0.617763	4.46867	1.86691	2.62616	1.28178	9.24483	1.64777	11.0358	2.09453	13.8272
1.84595	2.55018	0.625221	4.097	1.84696	2.54992	0.913393	6.49498	1.27965	9.07803	1.68853	11.1582	2.01599	13.0808	0.619195	4.40551	1.86103	2.62641	1.28421	9.11071	1.64865	10.9811	2.09599	13.6292
1.84099	2.55146	0.626183	4.04218	1.842	2.5512	0.914832	6.4002	1.2831	8.95593	1.6895	11.0825	2.01826	12.9024	0.620521	4.34363	1.85514	2.62666	1.28654	8.98023	1.64922	10.9464	2.09734	13.4364
1.83601	2.55272	0.62699	3.99553	1.83703	2.55247	0.916134	6.30749	1.28673	8.83891	1.69019	11.0275	2.02067	12.73	0.621752	4.28307	1.84925	2.62689	1.28877	8.85324	1.65005	10.8971	2.0986	13.2487
1.83102	2.55398	0.627661	3.95659	1.83204	2.55372	0.917304	6.21679	1.29053	8.72667	1.69063	10.9925	2.02321	12.5634	0.622901	4.22385	1.84334	2.62711	1.29092	8.72964	1.65098	10.8442	2.09978	13.0658
1.826	2.5552	0.628206	3.92495	1.82703	2.55496	0.918349	6.12804	1.29449	8.61894	1.69126	10.9426	2.02588	12.4023	0.62398	4.16598	1.83742	2.62731	1.293	8.60933	1.65227	10.7734	2.10088	12.8876
1.82096	2.5564	0.628632	3.90031	1.82199	2.55616	0.919275	6.0412	1.29859	8.51544	1.69193	10.8889	2.02867	12.2463	0.625	4.10948	1.8315	2.62751	1.295	8.49221	1.65395	10.6856	2.1019	12.7139
1.81588	2.55755	0.628944	3.88239	1.81691	2.55732	0.920088	5.95623	1.30283	8.41593	1.69282	10.8166	2.03157	12.0954	0.625971	4.05435	1.82557	2.6277	1.29695	8.3782	1.65605	10.582	2.10286	12.5446
1.81075	2.55864	0.629142	3.87101	1.8118	2.55843	0.920795	5.87308	1.30721	8.32016	1.69393	10.7266	2.03458	11.9491	0.626903	4.0006	1.81963	2.62789	1.29885	8.26723	1.65861	10.4639	2.10376	12.3796
1.80557	2.55967	0.629427	3.85478	1.80663	2.55947	0.921402	5.79172	1.3117	8.2279	1.69523	10.6195	2.03769	11.8074	0.627805	3.94822	1.81369	2.62806	1.30071	8.15925	1.66167	10.3328	2.10461	12.2187
1.80033	2.56063	0.629735	3.8373	1.80141	2.56044	0.921918	5.71211	1.31629	8.13894	1.69671	10.4966	2.04047	11.6874	0.628686	3.89721	1.80774	2.62823	1.30255	8.05421	1.66485	10.2061	2.10542	12.0618
